,Job_Title,Location,Company,Salary,No_of_Reviews,Company_Ratings,Job_Summary,Salary_Lower,Salary_Higher,State,City
0,Research Analyst,"Hampton, VA",Thomas Nelson Comm College,59630.0,2.0,54.0,"Primary responsibilities include meeting with data requestors, querying needed data from various College information systems, analyzing those data, and...",55000.0,64260.0,VA,Hampton
1,Research Analyst,"Norfolk, VA","City of Norfolk, VA",44415.0,None,None,"Gathers and analyzes data, develops spreadsheets for cost/benefit analyses; Meets with staff of various departments to gather data and explain research results;...",33770.0,55060.0,VA,Norfolk
2,Sr. Socio-behavioral Scientist,"Norfolk, VA",Eastern Virginia Medical School,94963.0,35.0,42.0,"Duties include managing and supporting proposal writing, study design, facilitating ethical review, supporting data collection, data analysis, and results...",94963.0,94963.0,VA,Norfolk
3,ASSOCIATE SCIENTIST,"Madison, WI",University of Wisconsin-Madison,40861.0,49.0,53.4,Scientist - Radiological Engineering and Design Laboratory. The scientist will be working with Professor Bryan Bednarz on cutting-edge research projects related...,40861.0,40861.0,WI,Madison
4,Data Scientist,"Madison, WI",Analytic Recruiting,135500.0,2.0,51.0,"Insurance Company in Wisconsin seeks a full time Data Scientist. Insurance, Analytics, Modeling, Machine Learning, R, Python, Hadoop, NLP, Data Scientist....",100000.0,171000.0,WI,Madison
5,SENIOR SCIENTIST,"Madison, WI",University of Wisconsin-Madison,40861.0,49.0,53.4,"Oversee data collection, data entry, data quality, and design of databases to meet research needs. As time allows, work with WRAP faculty and scientists to...",40861.0,40861.0,WI,Madison
6,RESEARCHER,"Madison, WI",University of Wisconsin-Madison,48000.0,49.0,53.4,Effective communication of statistical concepts to other scientists and nonscientists. Process large amounts of data for statistical modeling and graphic...,48000.0,48000.0,WI,Madison
7,"Statistician, Test Design","Madison, WI",Analytic Recruiting,108500.0,2.0,51.0,Backgorund: Organization in Wisconsin seeks a Statistician to cultivate a test and learn environment.Utilizing best in class experimental test design,90000.0,127000.0,WI,Madison
8,Sr. Data Scientist,"Madison, WI",Smith Hanley Associates,135000.0,12.0,51.6,"Data Scientist to create state of the art business solutions using advanced statistical analysis, machine learning and data mining from complex and extremely...",100000.0,170000.0,WI,Madison
9,ASSISTANT SCIENTIST,"Madison, WI",University of Wisconsin-Madison,40861.0,49.0,53.4,"The successful applicant will also be responsible for analysis of large data sets, such as MHC genotyping results and whole genome/whole exome sequencing...",40861.0,40861.0,WI,Madison
10,(Sr.) Statistical Analyst,"Madison, WI",Smith Hanley Associates,102500.0,12.0,51.6,"-Assist in data management, internal client needs, hypothesis testing, and project management. Smith Hanley Associates takes pride in being the premier...",80000.0,125000.0,WI,Madison
11,UX Research Analyst,"Boca Raton, FL",Ascendo Resources,60000.0,None,None,"UX Research Analyst Direct Hire, On Site, Coral Springs, FL As a UX Research Analyst you will be collaborating daily with a multi-disciplinary team",60000.0,60000.0,FL,Boca Raton
12,Systems Engineer,"Boca Raton, FL",Florida Atlantic University,57500.0,145.0,52.1,"Ability to work effectively in an interdisciplinary team with scientists, engineers of different disciplines (electronic, optical, software and computer),...",50000.0,65000.0,FL,Boca Raton
13,Mathematical Statistician,"Atlanta, GA",Centers for Disease Control and Prevention,101553.5,64.0,54.0,"And collecting, analyzing, and interpreting scientific data for. Design and develop mathematical statistical models, methods, and/or techniques such as sample...",88305.0,114802.0,GA,Atlanta
14,Health Scientist (Informatics),"Atlanta, GA",Centers for Disease Control and Prevention,120002.5,64.0,54.0,As a Health Scientist (Informatics) you will:. Data and Information Synthesis Use relevant primary and secondary research findings to make action-oriented...,104349.0,135656.0,GA,Atlanta
15,Statistical Data Analyst,"Atlanta, GA",Ga. Dept. of Admin. Services,41000.0,None,None,Strong data research and analysis skills for the position of Statistical Data. To determine and map source to target data and documents data cleansing rules....,36000.0,46000.0,GA,Atlanta
16,HEALTH SCIENTIST,"Atlanta, GA",Centers for Disease Control and Prevention,101553.5,64.0,54.0,"As a Health Scientist you will:. Identify and apply analytical methods, techniques, and tools to analyze and interpret data....",88305.0,114802.0,GA,Atlanta
17,Lead Data Scientist,"Atlanta, GA 30308 (Old Fourth Ward area)",Stackfolio,80000.0,None,None,We are looking for a bright and experienced data scientist that has experience building web-based applications and systems to join our team as an early...,80000.0,80000.0,GA,"Atlanta, GA 30308 (Old Fourth Ward area"
18,Behavioral Scientist,"Atlanta, GA",Centers for Disease Control and Prevention,120002.5,64.0,54.0,As Behavioral Scientist you will:. Develop metrics and analyze data to assess programmatic processes and outcomes....,104349.0,135656.0,GA,Atlanta
