,age,type_employer,education,education_num,marital,occupation,relationship,race,sex,capital_gain,capital_loss,hr_per_week,country,income
4,53,Private,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States,0
14656,32,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,1
26677,29,Private,10th,6,Married-spouse-absent,Adm-clerical,Unmarried,White,Female,0,0,40,Mexico,0
4281,30,Private,Assoc-voc,11,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,Mexico,0
15668,66,Private,HS-grad,9,Widowed,Priv-house-serv,Not-in-family,White,Female,0,0,8,United-States,0
6215,84,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,20,United-States,0
25434,24,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,2174,0,45,United-States,0
21217,42,State-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,48,United-States,1
9913,31,Private,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0
15713,25,Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,1
10559,41,Private,Some-college,10,Separated,Craft-repair,Not-in-family,Black,Male,0,0,40,United-States,0
7924,36,Private,HS-grad,9,Married-spouse-absent,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0
6472,39,Local-gov,HS-grad,9,Divorced,Adm-clerical,Own-child,White,Male,0,0,42,United-States,0
14163,33,Private,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,0
12073,37,Private,10th,6,Divorced,Other-service,Unmarried,White,Female,0,0,33,United-States,0
25204,17,Private,12th,8,Never-married,Sales,Own-child,White,Female,0,0,6,United-States,0
15193,30,?,Bachelors,13,Married-civ-spouse,?,Wife,White,Female,0,0,4,United-States,0
19144,53,Local-gov,Doctorate,16,Divorced,Prof-specialty,Not-in-family,White,Female,10520,0,40,United-States,1
25302,26,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,0
21648,36,Self-emp-inc,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,1
11892,43,Private,Some-college,10,Divorced,Tech-support,Unmarried,White,Female,0,0,30,United-States,0
27012,21,Private,Some-college,10,Never-married,Sales,Unmarried,White,Female,0,0,35,United-States,0
7744,20,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,8,United-States,0
22154,57,Private,Masters,14,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,1
19823,29,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1
1878,42,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,0
31724,31,?,Some-college,10,Married-civ-spouse,?,Wife,White,Female,0,0,10,United-States,0
26520,31,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0
26562,34,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,Black,Female,0,0,40,United-States,0
918,67,Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,1
3714,41,Private,HS-grad,9,Divorced,Protective-serv,Own-child,White,Male,0,0,40,United-States,0
29709,30,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,Mexico,1
25029,30,Private,9th,5,Married-civ-spouse,Craft-repair,Husband,Other,Male,0,0,40,Mexico,0
11764,25,Private,Some-college,10,Never-married,Tech-support,Own-child,White,Female,0,0,43,United-States,0
10272,27,Private,Assoc-voc,11,Divorced,Sales,Not-in-family,White,Female,0,0,40,United-States,0
18386,43,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,50,United-States,1
24898,35,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,0
8479,30,State-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,10,China,0
14180,37,Local-gov,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,1151,0,35,United-States,0
4155,33,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,United-States,1
19759,27,Self-emp-not-inc,HS-grad,9,Never-married,Protective-serv,Not-in-family,White,Male,0,0,30,United-States,0
21559,19,Federal-gov,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,10,United-States,0
21928,30,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,0,0,5,United-States,1
10839,27,Private,5th-6th,3,Never-married,Other-service,Not-in-family,White,Male,0,0,60,El-Salvador,0
20033,34,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,United-States,0
26427,37,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,1
5197,40,State-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,Taiwan,1
28125,33,Self-emp-not-inc,Bachelors,13,Never-married,Transport-moving,Not-in-family,White,Male,0,0,40,?,0
25,59,Private,HS-grad,9,Divorced,Tech-support,Unmarried,White,Female,0,0,40,United-States,0
13222,47,Self-emp-not-inc,Some-college,10,Divorced,Prof-specialty,Unmarried,Black,Female,0,0,40,United-States,0
2670,49,Private,Some-college,10,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,1
5547,35,Self-emp-not-inc,Bachelors,13,Never-married,Other-service,Not-in-family,Black,Female,0,0,60,United-States,0
3814,46,Private,HS-grad,9,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,0
25386,47,Private,Assoc-voc,11,Divorced,Prof-specialty,Unmarried,White,Female,0,0,44,United-States,0
3386,44,Private,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0
26205,22,Private,HS-grad,9,Separated,Other-service,Other-relative,White,Male,0,0,35,United-States,0
18467,64,?,HS-grad,9,Divorced,?,Unmarried,White,Female,0,0,38,United-States,0
29262,42,Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,40,United-States,1
8146,41,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45,?,0
15392,22,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,55,United-States,0
1745,43,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,0
1565,42,Federal-gov,HS-grad,9,Separated,Other-service,Other-relative,Black,Female,0,0,40,United-States,0
3868,68,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,45,United-States,1
8575,28,Federal-gov,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,0
9572,49,Local-gov,Some-college,10,Never-married,Other-service,Unmarried,White,Female,0,0,30,United-States,0
16982,71,Private,9th,5,Widowed,Sales,Unmarried,White,Female,0,0,13,United-States,0
6773,28,Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,45,United-States,0
15849,36,Local-gov,11th,7,Never-married,Other-service,Unmarried,White,Female,0,0,23,United-States,0
13679,27,Local-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,35,United-States,0
19204,30,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States,0
10746,76,?,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,20,United-States,0
16960,26,Private,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,20,United-States,0
24357,67,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
22517,41,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1
31306,46,Private,HS-grad,9,Married-spouse-absent,Machine-op-inspct,Not-in-family,White,Female,0,0,40,Columbia,0
26386,29,Federal-gov,Some-college,10,Married-spouse-absent,Adm-clerical,Own-child,White,Female,0,0,40,United-States,0
30554,30,Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,50,United-States,0
15794,36,Private,HS-grad,9,Never-married,Other-service,Own-child,Black,Male,0,0,35,United-States,0
7788,20,?,Some-college,10,Never-married,?,Other-relative,White,Female,0,0,25,United-States,0
3445,59,Private,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,0
16503,34,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,1
4782,39,Self-emp-not-inc,Bachelors,13,Separated,Craft-repair,Own-child,White,Male,0,0,35,United-States,0
28539,50,Private,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,1
16000,21,?,HS-grad,9,Never-married,?,Not-in-family,White,Female,0,0,40,United-States,0
7077,30,Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
12119,56,Private,1st-4th,2,Separated,Machine-op-inspct,Unmarried,White,Male,0,0,40,United-States,0
23744,19,Private,HS-grad,9,Never-married,Sales,Unmarried,Black,Female,0,0,30,United-States,0
20459,64,Self-emp-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,2635,0,10,United-States,0
21225,58,Self-emp-inc,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,1
27015,36,State-gov,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,1
10965,56,Self-emp-inc,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,70,United-States,1
31319,22,Private,Some-college,10,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,30,United-States,0
4876,49,Local-gov,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,1
1093,31,Private,Doctorate,16,Married-spouse-absent,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,0,0,60,China,0
12420,24,Private,Bachelors,13,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,0
12867,50,Private,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,0
13528,43,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,1977,52,United-States,1
7852,36,Local-gov,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,40,United-States,1
25443,52,Local-gov,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,45,United-States,0
30894,18,Private,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,9,United-States,0
7944,19,Private,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,0,0,35,United-States,0
11109,20,Private,11th,7,Never-married,Tech-support,Other-relative,White,Male,0,0,40,United-States,0
4340,46,Federal-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
8836,35,Private,Some-college,10,Never-married,Prof-specialty,Not-in-family,Black,Female,0,0,40,United-States,0
27497,19,Private,Some-college,10,Never-married,Sales,Own-child,Amer-Indian-Eskimo,Female,0,1721,25,United-States,0
17913,37,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,0
5145,28,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,1628,60,United-States,0
1168,22,?,Some-college,10,Never-married,?,Own-child,White,Female,0,0,8,United-States,0
18048,52,Self-emp-not-inc,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,70,United-States,0
317,77,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0
21161,36,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,0
30549,18,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,30,United-States,0
4309,35,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,99,United-States,0
29148,50,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
4683,29,Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0
14606,61,Private,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0
22070,30,Private,Prof-school,15,Never-married,Tech-support,Own-child,White,Female,0,0,24,United-States,0
1656,44,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,50,Italy,1
5021,18,?,Some-college,10,Never-married,?,Own-child,White,Female,0,0,20,United-States,0
13291,61,?,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,0,0,10,United-States,0
4283,31,Private,Some-college,10,Married-civ-spouse,Sales,Wife,Black,Female,0,0,40,United-States,0
19064,41,Self-emp-not-inc,Some-college,10,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,15,United-States,0
22152,20,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,0
2050,24,Private,Bachelors,13,Married-spouse-absent,Prof-specialty,Own-child,White,Female,0,0,40,United-States,0
14116,30,Private,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,0
21197,17,Private,10th,6,Never-married,Other-service,Own-child,White,Female,0,0,14,United-States,0
21531,55,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,1
14077,51,Federal-gov,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,1
29510,36,Private,10th,6,Divorced,Sales,Own-child,White,Male,0,0,40,United-States,0
2891,40,Private,HS-grad,9,Married-spouse-absent,Other-service,Own-child,White,Female,0,0,40,United-States,0
16230,52,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,0
24997,19,Private,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,40,United-States,0
23374,17,?,11th,7,Never-married,?,Own-child,White,Female,0,0,20,United-States,0
27559,25,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,Cuba,0
17509,43,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
17040,20,?,Some-college,10,Never-married,?,Other-relative,Black,Male,34095,0,10,United-States,0
11114,55,Private,HS-grad,9,Divorced,Sales,Not-in-family,White,Female,0,0,40,United-States,0
2550,43,Private,Doctorate,16,Married-spouse-absent,Prof-specialty,Not-in-family,White,Female,0,0,40,?,0
8302,51,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
15659,39,Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,50,United-States,0
21551,24,Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,0
14225,25,Private,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,2339,35,United-States,0
23232,36,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,1
7076,28,?,HS-grad,9,Separated,?,Unmarried,Black,Female,0,0,30,United-States,0
9214,58,State-gov,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,40,United-States,1
6225,52,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,1
20881,79,?,7th-8th,4,Married-civ-spouse,?,Husband,White,Male,1409,0,35,United-States,0
20146,55,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,25,United-States,0
281,22,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,15,Germany,0
1726,44,Private,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
25002,20,Private,Some-college,10,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States,0
12133,72,Private,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,6360,0,40,United-States,0
22662,31,Federal-gov,Assoc-acdm,12,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,45,United-States,0
4180,36,Local-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,35,United-States,0
24309,22,?,Some-college,10,Never-married,?,Not-in-family,Black,Female,0,0,35,United-States,0
10305,30,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,44,United-States,0
23709,40,Federal-gov,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
7635,62,State-gov,Masters,14,Separated,Prof-specialty,Unmarried,White,Female,0,0,24,?,0
3610,23,Private,HS-grad,9,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,Canada,0
3987,30,Private,HS-grad,9,Separated,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
16367,42,Private,Assoc-voc,11,Divorced,Tech-support,Unmarried,White,Female,0,0,40,United-States,0
3245,42,Local-gov,Bachelors,13,Separated,Prof-specialty,Unmarried,White,Male,0,0,40,United-States,0
8725,52,Self-emp-inc,10th,6,Married-civ-spouse,Sales,Husband,White,Male,4064,0,45,United-States,0
6403,20,Private,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,35,United-States,0
12851,26,Private,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,70,United-States,0
107,17,?,10th,6,Never-married,?,Own-child,White,Female,34095,0,32,United-States,0
6226,36,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Black,Female,99999,0,40,United-States,1
11851,42,State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
31271,53,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
22864,47,State-gov,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,0
26834,62,Local-gov,Assoc-voc,11,Divorced,Adm-clerical,Not-in-family,Black,Female,0,0,40,United-States,0
