|amt_pledged|blurb|category|new_category|currency|goal|location|num_backers|num_backers_tier|pledge_tier|title|url|exchange_rate|pledged_USD|goal_USD|percent_received|goal_level|goal_level_num|pledge_level|pledge_level_num|creator|creator_names|country|start|end|days|tier_amt_lower_50|tier_amt_51_250|tier_amt_251_500|tier_amt_501_750|tier_amt_751_1000|tier_amt_1001_more|min_tier_amount|max_tier_amount|avg_tier_amount|median_tier_amount|avg_num_backers_tier|median_num_backers_tier|num_backers_bin|tier_backer_ratio|num_tiers|num_tiers_with_backers|project_updated|unique_words_ratio
0|8782571.0|this is a card game for people who are into kittens and explosions and laser beams and sometimes goats|Tabletop Games|Tabletop Games|usd|10000.0|Los Angeles, CA|219382|[15505, 202934, 200, 5]|[20.0, 35.0, 100.0, 500.0]|exploding kittens|/projects/elanlee/exploding-kittens|1.0|8782571.0|10000.0|87825.71|medium|1|low|0|elanlee|Elan Lee|USA|2015-01-20|2015-02-19|30|2|1|1|0|0|0|20.0|500.0|163.75|67.5|54661.0|7852.5|1|[7.091436307422111, 92.81480397358263, 0.09147289658074313, 0.0022868224145185783]|4|4|0|0.894736842105
1|6465690.0|an unusually addicting highquality desk toy designed to help you focus fidget at work in class and at home in style|Product Design|Product Design|usd|15000.0|Denver, CO|154926|[788, 250, 43073, 21796, 41727, 21627, 12215, 7608, 3290, 2189, 82, 85]|[1.0, 14.0, 19.0, 19.0, 35.0, 35.0, 79.0, 79.0, 129.0, 129.0, 849.0, 849.0]|fidget cube a vinyl desk toy|/projects/antsylabs/fidget-cube-a-vinyl-desk-toy|1.0|6465690.0|15000.0|43104.6|medium|1|low|0|antsylabs|Matthew and Mark McLachlan|USA|2016-08-30|2016-10-19|50|6|4|0|0|2|0|1.0|849.0|186.42|57.0|12894.17|5449.0|1|[0.50927421960835, 0.1615717701803141, 27.837523427906675, 14.086473211400504, 26.967621017255865, 13.977250694758611, 7.894396691010147, 4.916952110127318, 2.1262844955729334, 1.4147224196988302, 0.05299554061914302, 0.05493440186130679]|12|12|0|0.904761904762
2|5408916.0|bring reading rainbow’s library of interactive books  video field trips to more platforms  provide free access to classrooms in need|Web|Documentary|usd|1000000.0|Los Angeles, CA|105857|[19639, 14343, 9136, 2259, 5666, 24512, 4957, 4359, 749, 1248, 500, 339, 282, 417, 1548, 517, 749, 155, 160, 60, 5, 10, 3, 100, 75, 12, 295, 69, 156, 1, 33, 1, 1, 8, 6, 30, 13, 39, 1, 4, 6, 21, 9, 3, 23, 11, 12, 20, 14, 11, 4, 14, 36, 10, 1, 1, 10, 2, 2, 8, 13, 10, 1, 1]|[5.0, 10.0, 25.0, 30.0, 35.0, 50.0, 75.0, 100.0, 110.0, 125.0, 140.0, 145.0, 150.0, 175.0, 200.0, 200.0, 250.0, 250.0, 275.0, 300.0, 300.0, 300.0, 300.0, 350.0, 350.0, 350.0, 375.0, 375.0, 400.0, 400.0, 400.0, 450.0, 500.0, 500.0, 500.0, 600.0, 700.0, 750.0, 750.0, 750.0, 750.0, 750.0, 750.0, 800.0, 800.0, 800.0, 800.0, 800.0, 800.0, 900.0, 1200.0, 1500.0, 1700.0, 2500.0, 2600.0, 3000.0, 3500.0, 3500.0, 3500.0, 3750.0, 5000.0, 10000.0, 10000.0, 10000.0]|bring reading rainbow back for every child everywhere|/projects/readingrainbow/bring-reading-rainbow-back-for-every-child-everywh|1.0|5408916.0|1000000.0|540.8916|dreaming|3|dreaming|3|readingrainbow|LeVar Burton & Reading Rainbow|USA|2014-05-28|2014-07-02|35|6|12|17|8|7|14|5.0|10000.0|1277.34|475.0|1448.44|17.0|1|[21.18554476806904, 15.472491909385115, 9.8554476806904, 2.4368932038834954, 6.112189859762675, 26.442286947141312, 5.347357065803668, 4.702265372168285, 0.8079827400215749, 1.3462783171521036, 0.5393743257820928, 0.3656957928802589, 0.3042071197411003, 0.44983818770226536, 1.6699029126213591, 0.557713052858684, 0.8079827400215749, 0.16720604099244876, 0.1725997842502697, 0.06472491909385113, 0.005393743257820928, 0.010787486515641856, 0.0032362459546925564, 0.10787486515641855, 0.08090614886731393, 0.012944983818770225, 0.31823085221143477, 0.07443365695792879, 0.16828478964401294, 0.0010787486515641855, 0.03559870550161812, 0.0010787486515641855, 0.0010787486515641855, 0.008629989212513484, 0.006472491909385113, 0.032362459546925564, 0.014023732470334413, 0.042071197411003236, 0.0010787486515641855, 0.004314994606256742, 0.006472491909385113, 0.022653721682847898, 0.00970873786407767, 0.0032362459546925564, 0.024811218985976265, 0.01186623516720604, 0.012944983818770225, 0.021574973031283712, 0.015102481121898598, 0.01186623516720604, 0.004314994606256742, 0.015102481121898598, 0.03883495145631068, 0.010787486515641856, 0.0010787486515641855, 0.0010787486515641855, 0.010787486515641856, 0.002157497303128371, 0.002157497303128371, 0.008629989212513484, 0.014023732470334413, 0.010787486515641856, 0.0010787486515641855, 0.0010787486515641855]|64|64|0|0.909090909091
3|5702153.0|updated this is it were making a veronica mars movie now the only question is how big can we make it we need your help|Narrative Film|Documentary|usd|2000000.0|San Diego, CA|91585|[5938, 8423, 11509, 22997, 23227, 1865, 7260, 152, 150, 1478, 3048, 100, 891, 91, 100, 135, 40, 100, 50, 150, 150, 50, 100, 100, 100, 20, 30, 10, 4, 3, 3, 1]|[1.0, 10.0, 25.0, 35.0, 50.0, 75.0, 100.0, 150.0, 150.0, 175.0, 200.0, 250.0, 275.0, 350.0, 400.0, 400.0, 450.0, 500.0, 600.0, 750.0, 750.0, 750.0, 1000.0, 1000.0, 1000.0, 2500.0, 3000.0, 3500.0, 5000.0, 6500.0, 8000.0, 10000.0]|the veronica mars movie project|/projects/559914737/the-veronica-mars-movie-project|1.0|5702153.0|2000000.0|285.10765|dreaming|3|dreaming|3|559914737|Rob Thomas|USA|2013-03-13|2013-04-12|30|5|7|6|4|3|10|1.0|10000.0|1498.31|425.0|2758.59|100.0|1|[6.726706315491363, 9.541772868875672, 13.037666383460774, 26.05154347210422, 26.312092891532146, 2.1127159444916455, 8.224299065420562, 0.17218918153497592, 0.16992353440951571, 1.6743132257150948, 3.4528462192013594, 0.11328235627301048, 1.0093457943925233, 0.10308694420843953, 0.11328235627301048, 0.15293118096856415, 0.04531294250920419, 0.11328235627301048, 0.05664117813650524, 0.16992353440951571, 0.16992353440951571, 0.05664117813650524, 0.11328235627301048, 0.11328235627301048, 0.11328235627301048, 0.022656471254602094, 0.033984706881903144, 0.011328235627301047, 0.004531294250920419, 0.0033984706881903144, 0.0033984706881903144, 0.0011328235627301047]|32|32|1|0.88
4|3336371.0|an adventure game from tim schafer double fine and you|Video Games|Video Games|usd|400000.0|San Francisco, CA|87142|[47946, 24636, 1090, 11530, 900, 148, 100, 10, 4]|[15.0, 30.0, 60.0, 100.0, 250.0, 500.0, 1000.0, 5000.0, 10000.0]|double fine adventure|/projects/doublefine/double-fine-adventure|1.0|3336371.0|400000.0|834.09275|dreaming|3|dreaming|3|doublefine|Double Fine and 2 Player Productions|USA|2012-02-08|2012-03-13|33|2|3|1|0|1|3|15.0|10000.0|1883.89|250.0|9596.0|900.0|1|[55.516187300263994, 28.52577462831735, 1.2620999490528462, 13.350470103283776, 1.0421008753647354, 0.17136769950442313, 0.11578898615163727, 0.011578898615163726, 0.0046315594460654905]|9|9|0|1.0
5|20338986.0|color epaper smartwatch with up to 7 days of battery and a new timeline interface that highlights whats important in your day|Product Design|Product Design|usd|500000.0|Palo Alto, CA|78471|[10000, 22991, 5278, 19999, 6041, 4717, 4998, 2500, 451, 237, 82, 142]|[159.0, 179.0, 179.0, 250.0, 250.0, 338.0, 400.0, 480.0, 480.0, 845.0, 1690.0, 5000.0]|pebble time  awesome smartwatch no compromises|/projects/597507018/pebble-time-awesome-smartwatch-no-compromises|1.0|20338986.0|500000.0|4067.7972|dreaming|3|dreaming|3|597507018|Pebble Technology|USA|2015-02-24|2015-03-27|31|0|5|4|0|1|2|159.0|5000.0|854.17|369.0|6453.0|4857.5|1|[12.913890180277907, 29.690324913476935, 6.815951237150679, 25.826488971537785, 7.801281057905883, 6.0914819980370885, 6.454362312102897, 3.2284725450694767, 0.5824164471305335, 0.3060591972725864, 0.10589389947827885, 0.18337724055994628]|12|12|0|1.0
6|4188927.0|a storydriven crpg set in the world of monte cooks numenera  we are deeply appreciative to all of you who made this possibleyou can continue to support torment by visiting tormentrpgcom|Video Games|Video Games|usd|900000.0|Newport Beach, CA|74405|[317, 14992, 11711, 10995, 4303, 3503, 10271, 2987, 1219, 2315, 2203, 1000, 2000, 998, 1839, 927, 383, 499, 889, 144, 300, 156, 53, 50, 13, 9, 3, 9]|[5.0, 20.0, 25.0, 28.0, 35.0, 39.0, 45.0, 50.0, 65.0, 75.0, 80.0, 95.0, 110.0, 125.0, 125.0, 130.0, 135.0, 250.0, 275.0, 350.0, 500.0, 525.0, 750.0, 1000.0, 1000.0, 2000.0, 5000.0, 10000.0]|torment tides of numenera|/projects/inxile/torment-tides-of-numenera|1.0|4188927.0|900000.0|465.436333333|dreaming|3|dreaming|3|inxile|inXile entertainment|USA|2013-03-06|2013-04-05|30|8|10|3|2|2|5|5.0|10000.0|815.61|125.0|2646.0|962.5|1|[0.4278695605226217, 20.235395745599828, 15.806878306878309, 14.840459993521218, 5.807958103876471, 4.728161105712126, 13.863243710182486, 4.0316920418961235, 1.6453406759529208, 3.1246625634380734, 2.9734909836950654, 1.3497462477054314, 2.699492495410863, 1.3470467552100205, 2.4821833495302883, 1.251214771622935, 0.5169528128711802, 0.6735233776050102, 1.1999244142101284, 0.1943634596695821, 0.40492387431162946, 0.2105604146420473, 0.07153655112838786, 0.06748731238527157, 0.017546701220170605, 0.012147716229348881, 0.004049238743116294, 0.012147716229348881]|28|28|0|0.9375
7|3986929.0|pillars of eternity is an isometric partybased computer rpg set in a new fantasy world developed by obsidian entertainment|Video Games|Video Games|usd|1100000.0|Irvine, CA|73986|[317, 25000, 20921, 8394, 5727, 3818, 769, 1041, 792, 3496, 972, 1746, 30, 367, 29, 114, 49, 7, 5, 3, 5]|[5.0, 20.0, 25.0, 35.0, 50.0, 65.0, 80.0, 100.0, 110.0, 140.0, 165.0, 250.0, 350.0, 500.0, 750.0, 1000.0, 1000.0, 3000.0, 5000.0, 5000.0, 10000.0]|pillars of eternity formerly project eternity|/projects/obsidian/project-eternity|1.0|3986929.0|1100000.0|362.448090909|dreaming|3|dreaming|3|obsidian|Obsidian Entertainment|USA|2012-09-14|2012-10-16|32|5|7|2|1|2|6|5.0|10000.0|1316.43|165.0|3504.86|769.0|1|[0.4306948180755958, 33.96646830249178, 28.42449933425722, 11.40458139724464, 7.781038558734816, 5.1873590391565445, 1.044808564984647, 1.4143637401157576, 1.0760577158229396, 4.74987092742045, 1.3206162876008805, 2.372218146246026, 0.04075976196299014, 0.49862775468057935, 0.039401103230890466, 0.15488709545936252, 0.06657427787288389, 0.009510611124697699, 0.006793293660498356, 0.004075976196299014, 0.006793293660498356]|21|21|0|1.0
8|2090104.0|the creative talent behind banjokazooie and donkey kong country reveal an allnew platforming adventure for consoles and pc|Video Games|Video Games|gbp|175000.0|Derby, UK|73206|[1324, 22974, 21683, 6821, 5140, 5859, 149, 499, 499, 1000, 774, 2841, 98, 500, 500, 499, 500, 125, 199, 184, 35, 250, 245, 130, 9, 5, 10, 1, 2]|[8.0, 15.0, 23.0, 31.0, 46.0, 54.0, 85.0, 85.0, 85.0, 85.0, 85.0, 108.0, 139.0, 139.0, 139.0, 139.0, 139.0, 139.0, 262.0, 262.0, 525.0, 525.0, 525.0, 525.0, 1042.0, 5208.0, 5208.0, 7715.0, 7715.0]|yookalaylee  a 3d platformer rarevival|/projects/playtonic/yooka-laylee-a-3d-platformer-rare-vival|1.25|2612630.0|218750.0|1194.34514286|dreaming|3|dreaming|3|playtonic|Playtonic Games|USA|2015-05-01|2015-06-16|46|4|14|2|4|0|5|8.0|9643.75|1338.625|173.75|2512.24|499.0|1|[1.8173083522064375, 31.53386864319539, 29.761855740855125, 9.362432228398875, 7.055109464003843, 8.042001235330451, 0.20451581909271843, 0.6849221055521241, 0.6849221055521241, 1.3725893898840162, 1.0623841877702287, 3.8995264566604906, 0.1345137602086336, 0.6862946949420081, 0.6862946949420081, 0.6849221055521241, 0.6862946949420081, 0.17157367373550203, 0.2731452885869192, 0.252556447738659, 0.04804062864594057, 0.34314734747100406, 0.336284400521584, 0.1784366206849221, 0.012353304508956145, 0.006862946949420081, 0.013725893898840161, 0.0013725893898840161, 0.0027451787797680323]|29|29|0|0.944444444444
9|3007370.0|znaps is a magnetic adapter specially designed to  seamlessly fit your mobile devices and cables so you can charge and sync with the peace of mind that your devices are safe and protected|Technology|Technology|cad|120000.0|Toronto, Canada|70122|[11463, 13904, 97, 4699, 22858, 942, 8267, 4543, 2229, 572, 250, 96]|[9.0, 9.0, 13.0, 15.0, 17.0, 21.0, 24.0, 42.0, 84.0, 193.0, 483.0, 561.0]|znaps  connection is just a snap away|/projects/1041610927/znaps-the-9-magnetic-adapter-for-your-mobile-devic|0.75|2255527.5|90000.0|2506.14166667|dreaming|3|high|2|1041610927|ZNAPS|Canada|2015-07-15|2015-08-14|30|8|2|2|0|0|0|9.0|420.75|91.935|16.875|5826.67|3386.0|1|[16.39445080091533, 19.88558352402746, 0.1387299771167048, 6.7205377574370715, 32.691647597254004, 1.347254004576659, 11.823512585812356, 6.497425629290618, 3.187929061784897, 0.8180778032036613, 0.3575514874141877, 0.13729977116704806]|12|12|0|0.896551724138
