|title|blurb|category|location|goal_USD|pledged_USD|percent_received|pledged_USD|num_backers|num_backers_tier|pledge_tier|url|exchange_rate|goal_level|goal_level_num|pledge_level|pledge_level_num|creator|creator_names|country|start|end|days
0|Exploding Kittens|This is a card game for people who are into kittens and explosions and laser beams and sometimes goats.|Tabletop Games|Los Angeles, CA|10000.0|8782571.0|87825.71|8782571.0|219382|[15505, 202934, 200, 5]|[20.0, 35.0, 100.0, 500.0]|/projects/elanlee/exploding-kittens|1.0|medium|1|low|0|elanlee|Elan Lee|USA|2015-01-20|2015-02-19|30
1|Fidget Cube: A Vinyl Desk Toy|An unusually addicting, high-quality desk toy designed to help you focus. Fidget at work, in class, and at home in style.|Product Design|Denver, CO|15000.0|6465690.0|43104.6|6465690.0|154926|[788, 250, 43073, 21796, 41727, 21627, 12215, 7608, 3290, 2189, 82, 85]|[1.0, 14.0, 19.0, 19.0, 35.0, 35.0, 79.0, 79.0, 129.0, 129.0, 849.0, 849.0]|/projects/antsylabs/fidget-cube-a-vinyl-desk-toy|1.0|medium|1|low|0|antsylabs|Matthew and Mark McLachlan|USA|2016-08-30|2016-10-19|50
2|Bring Reading Rainbow Back for Every Child, Everywhere!|Bring Reading Rainbow’s library of interactive books & video field trips to more platforms & provide free access to classrooms in need!|Web|Los Angeles, CA|1000000.0|5408916.0|540.8916|5408916.0|105857|[19639, 14343, 9136, 2259, 5666, 24512, 4957, 4359, 749, 1248, 500, 339, 282, 417, 1548, 517, 749, 155, 160, 60, 5, 10, 3, 100, 75, 12, 295, 69, 156, 1, 33, 1, 1, 8, 6, 30, 13, 39, 1, 4, 6, 21, 9, 3, 23, 11, 12, 20, 14, 11, 4, 14, 36, 10, 1, 1, 10, 2, 2, 8, 13, 10, 1, 1]|[5.0, 10.0, 25.0, 30.0, 35.0, 50.0, 75.0, 100.0, 110.0, 125.0, 140.0, 145.0, 150.0, 175.0, 200.0, 200.0, 250.0, 250.0, 275.0, 300.0, 300.0, 300.0, 300.0, 350.0, 350.0, 350.0, 375.0, 375.0, 400.0, 400.0, 400.0, 450.0, 500.0, 500.0, 500.0, 600.0, 700.0, 750.0, 750.0, 750.0, 750.0, 750.0, 750.0, 800.0, 800.0, 800.0, 800.0, 800.0, 800.0, 900.0, 1200.0, 1500.0, 1700.0, 2500.0, 2600.0, 3000.0, 3500.0, 3500.0, 3500.0, 3750.0, 5000.0, 10000.0, 10000.0, 10000.0]|/projects/readingrainbow/bring-reading-rainbow-back-for-every-child-everywh|1.0|dreaming|3|dreaming|3|readingrainbow|LeVar Burton & Reading Rainbow|USA|2014-05-28|2014-07-02|35
3|The Veronica Mars Movie Project|UPDATED: This is it. We're making a Veronica Mars movie! Now the only question is: how big can we make it? We need your help!|Narrative Film|San Diego, CA|2000000.0|5702153.0|285.10765|5702153.0|91585|[5938, 8423, 11509, 22997, 23227, 1865, 7260, 152, 150, 1478, 3048, 100, 891, 91, 100, 135, 40, 100, 50, 150, 150, 50, 100, 100, 100, 20, 30, 10, 4, 3, 3, 1]|[1.0, 10.0, 25.0, 35.0, 50.0, 75.0, 100.0, 150.0, 150.0, 175.0, 200.0, 250.0, 275.0, 350.0, 400.0, 400.0, 450.0, 500.0, 600.0, 750.0, 750.0, 750.0, 1000.0, 1000.0, 1000.0, 2500.0, 3000.0, 3500.0, 5000.0, 6500.0, 8000.0, 10000.0]|/projects/559914737/the-veronica-mars-movie-project|1.0|dreaming|3|dreaming|3|559914737|Rob Thomas|USA|2013-03-13|2013-04-12|30
4|Double Fine Adventure|An adventure game from Tim Schafer, Double Fine, and YOU!|Video Games|San Francisco, CA|400000.0|3336371.0|834.09275|3336371.0|87142|[47946, 24636, 1090, 11530, 900, 148, 100, 10, 4]|[15.0, 30.0, 60.0, 100.0, 250.0, 500.0, 1000.0, 5000.0, 10000.0]|/projects/doublefine/double-fine-adventure|1.0|dreaming|3|dreaming|3|doublefine|Double Fine and 2 Player Productions|USA|2012-02-08|2012-03-13|33
5|Pebble Time - Awesome Smartwatch, No Compromises|Color e-paper smartwatch with up to 7 days of battery and a new timeline interface that highlights what's important in your day.|Product Design|Palo Alto, CA|500000.0|20338986.0|4067.7972|20338986.0|78471|[10000, 22991, 5278, 19999, 6041, 4717, 4998, 2500, 451, 237, 82, 142]|[159.0, 179.0, 179.0, 250.0, 250.0, 338.0, 400.0, 480.0, 480.0, 845.0, 1690.0, 5000.0]|/projects/597507018/pebble-time-awesome-smartwatch-no-compromises|1.0|dreaming|3|dreaming|3|597507018|Pebble Technology|USA|2015-02-24|2015-03-27|31
6|Torment: Tides of Numenera|A story-driven CRPG set in the world of Monte Cook's Numenera.  We are deeply appreciative to all of you who made this possible.You can continue to support Torment by visiting tormentrpg.com.|Video Games|Newport Beach, CA|900000.0|4188927.0|465.436333333|4188927.0|74405|[317, 14992, 11711, 10995, 4303, 3503, 10271, 2987, 1219, 2315, 2203, 1000, 2000, 998, 1839, 927, 383, 499, 889, 144, 300, 156, 53, 50, 13, 9, 3, 9]|[5.0, 20.0, 25.0, 28.0, 35.0, 39.0, 45.0, 50.0, 65.0, 75.0, 80.0, 95.0, 110.0, 125.0, 125.0, 130.0, 135.0, 250.0, 275.0, 350.0, 500.0, 525.0, 750.0, 1000.0, 1000.0, 2000.0, 5000.0, 10000.0]|/projects/inxile/torment-tides-of-numenera|1.0|dreaming|3|dreaming|3|inxile|inXile entertainment|USA|2013-03-06|2013-04-05|30
7|Pillars of Eternity (formerly Project Eternity)|Pillars of Eternity is an isometric, party-based computer RPG set in a new fantasy world developed by Obsidian Entertainment.|Video Games|Irvine, CA|1100000.0|3986929.0|362.448090909|3986929.0|73986|[317, 25000, 20921, 8394, 5727, 3818, 769, 1041, 792, 3496, 972, 1746, 30, 367, 29, 114, 49, 7, 5, 3, 5]|[5.0, 20.0, 25.0, 35.0, 50.0, 65.0, 80.0, 100.0, 110.0, 140.0, 165.0, 250.0, 350.0, 500.0, 750.0, 1000.0, 1000.0, 3000.0, 5000.0, 5000.0, 10000.0]|/projects/obsidian/project-eternity|1.0|dreaming|3|dreaming|3|obsidian|Obsidian Entertainment|USA|2012-09-14|2012-10-16|32
8|Yooka-Laylee - A 3D Platformer Rare-vival!|The creative talent behind Banjo-Kazooie and Donkey Kong Country reveal an all-new platforming adventure for consoles and PC!|Video Games|Derby, UK|218750.0|2612630.0|1194.34514286|2612630.0|73206|[1324, 22974, 21683, 6821, 5140, 5859, 149, 499, 499, 1000, 774, 2841, 98, 500, 500, 499, 500, 125, 199, 184, 35, 250, 245, 130, 9, 5, 10, 1, 2]|[8.0, 15.0, 23.0, 31.0, 46.0, 54.0, 85.0, 85.0, 85.0, 85.0, 85.0, 108.0, 139.0, 139.0, 139.0, 139.0, 139.0, 139.0, 262.0, 262.0, 525.0, 525.0, 525.0, 525.0, 1042.0, 5208.0, 5208.0, 7715.0, 7715.0]|/projects/playtonic/yooka-laylee-a-3d-platformer-rare-vival|1.25|dreaming|3|dreaming|3|playtonic|Playtonic Games|USA|2015-05-01|2015-06-16|46
9|ZNAPS - Connection is just a snap away|ZNAPS is a magnetic adapter specially designed to  seamlessly fit your mobile devices and cables, so you can charge and sync with the peace of mind that your devices are safe and protected.|Technology|Toronto, Canada|90000.0|2255527.5|2506.14166667|2255527.5|70122|[11463, 13904, 97, 4699, 22858, 942, 8267, 4543, 2229, 572, 250, 96]|[9.0, 9.0, 13.0, 15.0, 17.0, 21.0, 24.0, 42.0, 84.0, 193.0, 483.0, 561.0]|/projects/1041610927/znaps-the-9-magnetic-adapter-for-your-mobile-devic|0.75|dreaming|3|high|2|1041610927|ZNAPS|Canada|2015-07-15|2015-08-14|30
10|Shenmue 3|Yu Suzuki presents the long awaited third installment in the Shenmue series.|Video Games|Tokyo, Japan|2000000.0|6333295.0|316.66475|6333295.0|69320|[2251, 26238, 382, 4671, 14668, 2062, 6539, 1791, 1279, 2822, 1170, 3141, 885, 147, 90, 88, 7, 30, 8, 8, 44, 44, 79, 12, 3, 13, 6, 12, 22, 2, 1, 1, 0, 4, 0, 3, 5, 2, 3]|[5.0, 29.0, 39.0, 60.0, 60.0, 80.0, 100.0, 120.0, 160.0, 175.0, 250.0, 300.0, 500.0, 600.0, 700.0, 800.0, 900.0, 1000.0, 1000.0, 1200.0, 1200.0, 1400.0, 1500.0, 1800.0, 1800.0, 2000.0, 2500.0, 2500.0, 3000.0, 4000.0, 4500.0, 5000.0, 5000.0, 6000.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0]|/projects/ysnet/shenmue-3|1.0|dreaming|3|dreaming|3|ysnet|Ys Net|Japan|2015-06-15|2015-07-17|32
