,Street_address,SF_avail,Price_per_sf_per_year,Prop_desc,Latitude,Longitude,Zipcode
0,"327 W 57th St, NY 10019",3840,118.75,"(""Amazing Location! Perfect for Restaurant or Retail! By Columbus Circle! \n\nRENT: Only $119 / SF ($38,000 per month)\n\nSPACE: 3,840 SF Ground Floor\n1,200 SF Basement\nTotal: 5,040 SF\n\nTERM: 10 years\n\nCOMMENTS: Built as a restaurant. 170 people capacity\n3 bars, 4 walk in boxes, working fireplace.\nPossibility for outdoor seating. \n\nLOCATION: Columbus Circle Area. \n\nNEIGHBORS: Central Park, Columbus Circle, TJ Max, Ricky's, Wallgreens, Baked by Melissa, CVS, Time Warner Shops, City MD, Starbucks, MT Sinai Hospital, Dunkin Donuts.\n\nCONTACT: Elena 718-300-0917, commercialspacesgroup@gmail.com. I have access to all retail spaces in NY. Just contact me with your requirements. For more of my listings please follow the link: http://commercialspacesgroup.com/team/elena-samasiuk"", 'k')",40.7674983,-73.9841113,10019
1,"118 West 14th Street, NY 10011",4200,140.0,"('Prime retail at the base of a luxury residential building on one of the highest trafficked retail corridors in the city...at an incredible pricepoint including a 2400 sf basement. Excellent frontage, all glass, 12 foot ceilings and close proximity to several subway lines. Highly visible, excellent flagship opportunity in a rapidly upscaling part of 14th street. Reasonable divisions MAY be considered for a high quality tenant. If this particular space or location does not meet your criteria, I have access to every single space in the city. Contact Isaac @ 917.981.0712 or email me. I will reply promptly.', '.')",40.7376285,-73.9979368,10011
2,"155 Chambers Street, NY 10007",750,216.0,"(""$13,500/month\nSuper High Traffic Retail Store on Super Busy Chambers Street between W Broadway  and Greenwich St\n750 Square Feet\n750 SF Storage Basement\n10 feet of frontage\n15 ft ceilings\nNext to popular chicken restaurant Dirty Bird\nOther neighbors include Subway; McDonald's, Petco, Chambers Street Wines, etc. \nNear Trains and Tribeca Whole Foods\nContact:\nDeborah Stewart\ndeborah@bertwoodrealty.com\n917 647-8138"", '8')",40.716076,-74.0099709,10007
3,"321 Bleecker Street, NY 10014",600,370.0,"('Store fully renovated, turn key opportunity. Bleecker and Grove Street.', '.')",40.733199,-74.0039242,10014
4,"323 Bleecker Street, NY 10014",1420,295.77,"(""All renovated, turn key retail opportunity with major frontage on Bleecker's hottest retail block."", '.')",40.7332858,-74.0039295,10014
5,"71 2nd Avenue, NY 10003",750,89.6,"('Japanese restaurant for sale\n750Sf ground floor 600sf basement  walk in refrigerator 26 seats ,it  possible 5 years or 7 years more lease\n  Beer and wine   This is confidential  we do not disclose   \n The correct address   we can show between 9am to 9:15\n am only  call kenji  914-772-6500', '0')",40.7264529,-73.989572,10003
6,"178 Stanton Street, NY 10002",2000,84.0,"('2,000 sf with E&amp;F for renovations over $1.5 million\nbasement 1,900sf  Rent $14K with 15 foot ceilings on the\nground floor   basement with 7 foot ceiling \n50% real estate  Approximately $1,250 per month.\nKey Money $150K  68 seats please call to kenji kora 914-772-6500', '0')",40.7202021,-73.9839686,10002
7,"99 1st Avenue, NY 10003",1200,123.73,"('Money maker,The owner would like to relocate to the another\nstate. 1200sf basement 700sf walk in refrigerator,ice maker\n66 seats,fully liquor license 4am,.be discreet .do not talk to any employees and owner. only seriou customer can be shown at 10:30 am  Key Money is  $200K', 'K')",40.7266116,-73.9863562,10003
8,"1750 1st Avenue, NY 10128",1500,96.38,"('1200 sf basement 300sf fully Liquor License  Rent $12,047 per month  7 year lease remain. $85K to $100K monthly sale\n$60K delivery sales  Real estate taxes $6k/annual   Key Money $250K  Do not talk to any employees or the owner\nMust call to kenji kora', 'a')",40.7797209,-73.9469022,10128
9,"27 Street Marks Place, NY 10003",1545,186.37,,40.7291682,-73.9883517,10003
