C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-00-00,59 ST,NQR456,BMT,12/27/2015,07:00:00,REGULAR,0005470479,0001846936                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,12/28/2015,15:00:00,REGULAR,0005471564,0001847414                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,12/29/2015,23:00:00,REGULAR,0005474280,0001847999                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,12/31/2015,07:00:00,REGULAR,0005476100,0001848562                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/01/2016,15:00:00,REGULAR,0005477676,0001849053                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,12/26/2015,23:00:00,REGULAR,0005037029,0001100031                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,12/28/2015,07:00:00,REGULAR,0005037701,0001100195                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,12/29/2015,15:00:00,REGULAR,0005039540,0001100661                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,12/30/2015,23:00:00,REGULAR,0005042118,0001101112                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/01/2016,07:00:00,REGULAR,0005043344,0001101390                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,12/26/2015,15:00:00,REGULAR,0000621113,0002342696                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,12/27/2015,23:00:00,REGULAR,0000621642,0002344408                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,12/29/2015,07:00:00,REGULAR,0000622300,0002346787                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,12/30/2015,15:00:00,REGULAR,0000623115,0002350197                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,12/31/2015,23:00:00,REGULAR,0000624115,0002352979                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,12/26/2015,07:00:00,REGULAR,0004999536,0007893428                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,12/27/2015,15:00:00,REGULAR,0005000735,0007895303                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,12/28/2015,23:00:00,REGULAR,0005002628,0007898238                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,12/30/2015,07:00:00,REGULAR,0005004065,0007900700                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,12/31/2015,15:00:00,REGULAR,0005006038,0007904195                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,01/01/2016,23:00:00,REGULAR,0005007482,0007906060                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,12/27/2015,07:00:00,REGULAR,0004728443,0006521269                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,12/28/2015,15:00:00,REGULAR,0004729582,0006523356                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,12/29/2015,23:00:00,REGULAR,0004731929,0006525826                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,12/31/2015,07:00:00,REGULAR,0004733528,0006528020                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,01/01/2016,15:00:00,REGULAR,0004734929,0006529841                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,12/26/2015,23:00:00,REGULAR,0004359474,0005278761                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,12/28/2015,07:00:00,REGULAR,0004360239,0005279481                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,12/29/2015,15:00:00,REGULAR,0004362071,0005281707                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,12/30/2015,23:00:00,REGULAR,0004364495,0005283537                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,01/01/2016,07:00:00,REGULAR,0004365699,0005284760                                             
A002,R051,02-03-04,59 ST,NQR456,BMT,12/26/2015,15:00:00,REGULAR,0005528043,0003060846                                             
A002,R051,02-03-04,59 ST,NQR456,BMT,12/27/2015,23:00:00,REGULAR,0005529417,0003061248                                             
A002,R051,02-03-04,59 ST,NQR456,BMT,12/29/2015,07:00:00,REGULAR,0005531077,0003061960                                             
A002,R051,02-03-04,59 ST,NQR456,BMT,12/30/2015,15:00:00,REGULAR,0005533209,0003063098                                             
A002,R051,02-03-04,59 ST,NQR456,BMT,12/31/2015,23:00:00,REGULAR,0005535698,0003063806                                             
A002,R051,02-03-05,59 ST,NQR456,BMT,12/26/2015,07:00:00,REGULAR,0008949265,0001237888                                             
A002,R051,02-03-05,59 ST,NQR456,BMT,12/27/2015,15:00:00,REGULAR,0008951148,0001238032                                             
A002,R051,02-03-05,59 ST,NQR456,BMT,12/28/2015,23:00:00,REGULAR,0008954391,0001238245                                             
A002,R051,02-03-05,59 ST,NQR456,BMT,12/30/2015,07:00:00,REGULAR,0008956969,0001238432                                             
A002,R051,02-03-05,59 ST,NQR456,BMT,12/31/2015,15:00:00,REGULAR,0008960402,0001238703                                             
A002,R051,02-03-05,59 ST,NQR456,BMT,01/01/2016,23:00:00,REGULAR,0008962758,0001238803                                             
A002,R051,02-03-06,59 ST,NQR456,BMT,12/27/2015,07:00:00,REGULAR,0007019754,0000469126                                             
A002,R051,02-03-06,59 ST,NQR456,BMT,12/28/2015,15:00:00,REGULAR,0007021228,0000469157                                             
A002,R051,02-03-06,59 ST,NQR456,BMT,12/29/2015,23:00:00,REGULAR,0007024325,0000469197                                             
A002,R051,02-03-06,59 ST,NQR456,BMT,12/31/2015,07:00:00,REGULAR,0007026567,0000469236                                             
A002,R051,02-03-06,59 ST,NQR456,BMT,01/01/2016,15:00:00,REGULAR,0007028437,0000469263                                             
A002,R051,02-05-00,59 ST,NQR456,BMT,12/26/2015,23:00:00,REGULAR,0000001239,0000000000                                             
A002,R051,02-05-00,59 ST,NQR456,BMT,12/28/2015,07:00:00,REGULAR,0000001239,0000000000                                             
A002,R051,02-05-00,59 ST,NQR456,BMT,12/29/2015,15:00:00,REGULAR,0000001239,0000000000                                             
A002,R051,02-05-00,59 ST,NQR456,BMT,12/30/2015,23:00:00,REGULAR,0000001239,0000000000                                             
A002,R051,02-05-00,59 ST,NQR456,BMT,01/01/2016,07:00:00,REGULAR,0000001239,0000000000                                             
A002,R051,02-05-01,59 ST,NQR456,BMT,12/26/2015,15:00:00,REGULAR,0000000000,0000000665                                             
A002,R051,02-05-01,59 ST,NQR456,BMT,12/27/2015,23:00:00,REGULAR,0000000000,0000000665                                             
A002,R051,02-05-01,59 ST,NQR456,BMT,12/29/2015,07:00:00,REGULAR,0000000000,0000000665                                             
A002,R051,02-05-01,59 ST,NQR456,BMT,12/30/2015,15:00:00,REGULAR,0000000000,0000000665                                             
A002,R051,02-05-01,59 ST,NQR456,BMT,12/31/2015,23:00:00,REGULAR,0000000000,0000000665                                             
A002,R051,02-06-00,59 ST,NQR456,BMT,12/26/2015,07:00:00,REGULAR,0006157628,0000138593                                             
A002,R051,02-06-00,59 ST,NQR456,BMT,12/27/2015,15:00:00,REGULAR,0006158972,0000138630                                             
A002,R051,02-06-00,59 ST,NQR456,BMT,12/28/2015,23:00:00,REGULAR,0006161535,0000138713                                             
A002,R051,02-06-00,59 ST,NQR456,BMT,12/30/2015,07:00:00,REGULAR,0006163718,0000138741                                             
A002,R051,02-06-00,59 ST,NQR456,BMT,12/31/2015,15:00:00,REGULAR,0006166728,0000138775                                             
A002,R051,02-06-00,59 ST,NQR456,BMT,01/01/2016,23:00:00,REGULAR,0006168558,0000138804                                             
A006,R079,00-00-00,5 AV/59 ST,NQR,BMT,12/27/2015,05:00:00,REGULAR,0002020570,0003568512                                           
A006,R079,00-00-00,5 AV/59 ST,NQR,BMT,12/28/2015,13:00:00,REGULAR,0002021821,0003571531                                           
A006,R079,00-00-00,5 AV/59 ST,NQR,BMT,12/29/2015,21:00:00,REGULAR,0002025000,0003575711                                           
A006,R079,00-00-00,5 AV/59 ST,NQR,BMT,12/31/2015,05:00:00,REGULAR,0002027184,0003578979                                           
A006,R079,00-00-00,5 AV/59 ST,NQR,BMT,01/01/2016,13:00:00,REGULAR,0002028835,0003581882                                           
A006,R079,00-00-01,5 AV/59 ST,NQR,BMT,12/26/2015,21:00:00,REGULAR,0003290188,0002154502                                           
A006,R079,00-00-01,5 AV/59 ST,NQR,BMT,12/28/2015,05:00:00,REGULAR,0003291304,0002155138                                           
A006,R079,00-00-01,5 AV/59 ST,NQR,BMT,12/29/2015,13:00:00,REGULAR,0003293238,0002156658                                           
A006,R079,00-00-01,5 AV/59 ST,NQR,BMT,12/30/2015,21:00:00,REGULAR,0003296402,0002158150                                           
A006,R079,00-00-01,5 AV/59 ST,NQR,BMT,01/01/2016,05:00:00,REGULAR,0003298053,0002159020                                           
