,Full_Street_address,SF_avail,Price_per_sf_per_year,Prop_desc,Latitude,Longitude,City,Zipcode
0,"327 W 57th St, New York, NY 10019",3840,118.75,"(""Amazing Location! Perfect for Restaurant or Retail! By Columbus Circle! \n\nRENT: Only $119 / SF ($38,000 per month)\n\nSPACE: 3,840 SF Ground Floor\n1,200 SF Basement\nTotal: 5,040 SF\n\nTERM: 10 years\n\nCOMMENTS: Built as a restaurant. 170 people capacity\n3 bars, 4 walk in boxes, working fireplace.\nPossibility for outdoor seating. \n\nLOCATION: Columbus Circle Area. \n\nNEIGHBORS: Central Park, Columbus Circle, TJ Max, Ricky's, Wallgreens, Baked by Melissa, CVS, Time Warner Shops, City MD, Starbucks, MT Sinai Hospital, Dunkin Donuts.\n\nCONTACT: Elena 718-300-0917, commercialspacesgroup@gmail.com. I have access to all retail spaces in NY. Just contact me with your requirements. For more of my listings please follow the link: http://commercialspacesgroup.com/team/elena-samasiuk"", 'k')",40.7674983,-73.9841113,New York,10019
1,"118 West 14th Street, New York, NY 10011",4200,140.0,"('Prime retail at the base of a luxury residential building on one of the highest trafficked retail corridors in the city...at an incredible pricepoint including a 2400 sf basement. Excellent frontage, all glass, 12 foot ceilings and close proximity to several subway lines. Highly visible, excellent flagship opportunity in a rapidly upscaling part of 14th street. Reasonable divisions MAY be considered for a high quality tenant. If this particular space or location does not meet your criteria, I have access to every single space in the city. Contact Isaac @ 917.981.0712 or email me. I will reply promptly.', '.')",40.7376285,-73.9979368,New York,10011
2,"778 Nostrand Ave, Brooklyn, NY 11215",1669,39.54,"('Prime Retail Space located on the main strip of Nostrand Avenue between Sterling Place.\nWell populated, extremely high foot and car traffic In the area. Ideal space for a Restaurant, Bar, \nClothing Store, or any type of retail use.\n\nRental Rate-$6000\nSqft-1,669 Ground Floor Space.\nBasement-1669\nLease Terms-5-10 years', 's')",40.672089,-73.950522,Brooklyn,11215
3,"5 Court Square, Long Island City, NY 11101",3500,35.0,"('Immediate possession,  2   5 year lease term, food uses allowed', 'd')",40.74663,-73.942833,Long Island City,11101
4,"16 W 8th Street, New York, NY 10011",1163,149.61,"('Excellent space steps from Washington Square park in the heart of Greenwich Village.', '.')",40.7325844,-73.9974629,New York,10011
5,"3821 Broadway, New York, NY 10032",966,140.0,"('Great corner location in a busy area of Washington Heights. Neighboring tenants include Dunkin Donuts, Boston Market, GNC, Planet Fitness and McDonalds.', '.')",40.8355539,-73.9441345,New York,10032
6,"17 Knolls Crescent, Bronx, NY 10463",905,53.04,"('Strip Mall', 'l')",40.8787409,-73.9175257,Bronx,10463
7,"256 W 109th Street, New York, NY 10025",380,205.26,"('one story street retail', 'l')",40.8032378,-73.9667567,New York,10025
8,"270 E 10th Street, New York, NY 10009",1200,65.16,"('Ready to operate,Please do not talk to any employees and the owner.\n500sf 35 seats and 700 sf garden in the back basement 1,700sf Large room walk in refrigerator ,stove,ice maker \nwine and beer  Real estate taxes $9k annual \n4 years 9 months lease left', 't')",40.7281811,-73.9834874,New York,10009
9,"120 Christopher Street, New York, NY 10014",1200,129.0,"('1200 sf  basement 400 sf   30 seats   Vietnamese ,Asian  Fusion 6 years lease remain  escalation 3%  Rent includes real estate taxes . monthly sales  approximately $70K includes delivery. if you like  owner will train.the restaurant is making profit right now .employees will stay if you wish. Key money $65K   Included real estate taxes\n The owner discreet to visit the restaurant unannounced.\nshowing at 10am', 'm')",40.7330743,-74.0056167,New York,10014
10,"15 W 8th Street, New York, NY 10011",2000,95.01,"('Great location in west village close to fifth avenue.  currently operating as Japanese restaurant .space offers a fully vented and fixture kitchen  about 2,000 sf  800 sf  basement. sushi bar 7seats.dining room 72 to 78 seats. Full liquor license Lease has  120 months remains    MOTIVATED OWNER   MAKE AN OFFER      call kenji 3% escalation. this situation is confidential .under no circumstances should you,your client or any party you are affiliated with go to the premises unannounced or speak to the restaurant employees or clientele regarding this opportunity .all inspection are do be done by appointment only. DO NOT CONTACT TO THE OWNER\nDIRECTLY.\n10 years lease is possible.\nKey money $220K\n I have a key  fully liquor license', 'e')",40.7328969,-73.9971672,New York,10011
11,"97 1st Avenue, New York, NY 10003",2500,81.58,"('Beautiful corner restaurant   2,500 ground floor\n600sf basement   106 seats and out side cafe 44 seats\nand bar with full liquor license until 1 am(17 seats)\nInclude real estate taxes  7 years lease remain.\nfront 26 feets X 30feets   Ready to operate.\nthe owner is discreet unannounced to visit the restaurant.\ndo not talk to any employees,owner without my knowledge  call more details   kenji kora. Key money$125k\n\nWe are looking for a to lease a bar only(more details to call\nkenji    914-772-6500)', ')')",40.7263756,-73.9865095,New York,10003
12,"203 Chrystie Street, New York, NY 10002",1600,112.5,"(""1600 sf space divisible or taken as is located steps away from Ian Schrager's new hotel/condo project. prime location near all the galleries, new museum of contemporary art and whole foods market\n\nLEASE TERM: \n5 or 10 year lease\n\nAVAILABILITY: \nimmediate"", 'e')",40.7223231,-73.9919861,New York,10002
