,zipcode,count
0,10019,90902.0
1,10001,85360.0
2,10022,71916.0
3,10016,66606.0
4,10017,65016.0
5,10036,60149.0
6,10003,58618.0
7,10011,55920.0
8,10023,43786.0
9,10014,40579.0
10,10021,40277.0
11,10065,40246.0
12,10010,39205.0
13,10018,37625.0
14,10028,34674.0
15,10012,33621.0
16,10024,33160.0
17,10013,31580.0
18,10128,29574.0
19,10025,28787.0
20,10002,23618.0
21,10009,23148.0
22,10075,18091.0
23,11371,17922.0
24,10029,16629.0
25,10007,13034.0
26,11211,12347.0
27,11201,11150.0
28,11430,11133.0
29,10027,9717.0
30,10038,9273.0
31,10004,8636.0
32,11101,7764.0
33,10035,7364.0
34,10005,6397.0
35,10026,6281.0
36,10280,5880.0
37,10020,5285.0
38,10031,5263.0
39,11215,4926.0
40,11222,4732.0
41,10032,4051.0
42,10282,3958.0
43,11206,3916.0
44,11217,3887.0
45,10006,3823.0
46,10069,3801.0
47,11238,3782.0
48,11103,3748.0
49,11377,3446.0
50,11106,3408.0
51,11102,3070.0
52,11231,2887.0
53,10033,2764.0
54,11216,2704.0
55,11205,2649.0
56,10281,2637.0
57,11105,2529.0
58,11221,2499.0
59,11373,2025.0
60,11372,1880.0
61,11104,1844.0
62,10030,1828.0
63,10037,1614.0
64,11226,1469.0
65,11375,1443.0
66,10040,1398.0
67,11237,1388.0
68,11218,1293.0
69,10034,1269.0
70,11385,1142.0
71,10039,1115.0
72,11225,1097.0
73,11213,1052.0
74,11368,997.0
75,11209,983.0
76,11369,934.0
77,10048,893.0
78,11233,859.0
79,10463,824.0
80,11374,810.0
81,10451,782.0
82,10154,749.0
83,11207,704.0
84,11220,660.0
85,10111,657.0
86,11232,608.0
87,11378,606.0
88,10462,603.0
89,10454,601.0
90,10044,598.0
91,10452,595.0
92,11435,585.0
93,11203,581.0
94,11434,573.0
95,10456,502.0
96,11230,482.0
97,11432,466.0
98,11370,465.0
99,11420,458.0
100,10152,452.0
101,11354,431.0
102,11436,416.0
103,10153,390.0
104,11208,369.0
105,10467,365.0
106,11234,357.0
107,11229,356.0
108,11236,348.0
109,11235,346.0
110,11379,336.0
111,10455,332.0
112,11355,329.0
113,10453,324.0
114,11219,323.0
115,10468,322.0
116,11367,320.0
117,10457,307.0
118,11365,304.0
119,10471,296.0
120,11210,286.0
121,11212,281.0
122,11415,271.0
123,10461,263.0
124,11418,258.0
125,10458,253.0
126,10473,248.0
127,11214,246.0
128,11228,244.0
129,11223,228.0
130,10459,217.0
131,10105,205.0
132,11421,195.0
133,11412,195.0
134,10469,193.0
135,10465,191.0
136,10475,189.0
137,10470,185.0
138,11358,181.0
139,11224,180.0
140,11413,179.0
141,10472,177.0
142,10460,175.0
143,11357,174.0
144,10474,162.0
145,11419,157.0
146,11423,155.0
147,11109,150.0
148,11251,147.0
149,11356,143.0
150,10466,138.0
151,11433,129.0
152,11361,129.0
153,11204,127.0
154,11417,118.0
155,10155,112.0
156,10285,96.0
157,10314,94.0
158,11416,91.0
159,11428,84.0
160,11411,83.0
161,10151,79.0
162,11414,79.0
163,10115,70.0
164,11691,70.0
165,11427,69.0
166,11426,69.0
167,11360,62.0
168,11366,62.0
169,10112,61.0
170,11364,60.0
171,11429,59.0
172,10055,47.0
173,11694,47.0
174,11362,45.0
175,11363,36.0
176,10301,35.0
177,11422,33.0
178,11239,27.0
179,11004,24.0
180,11005,24.0
181,10312,23.0
182,11001,23.0
183,10310,18.0
184,10305,13.0
185,10303,12.0
186,10464,12.0
187,10306,12.0
188,11697,12.0
189,11693,12.0
190,10304,9.0
191,10307,2.0
192,11040,0.0
193,11451,0.0
194,00083,0.0
195,11359,0.0
196,10302,0.0
197,11096,0.0
198,11096,0.0
199,11692,0.0
200,10308,0.0
201,10309,0.0
202,10279,0.0
203,10165,0.0
204,10168,0.0
205,10118,0.0
206,10176,0.0
207,10162,0.0
208,10170,0.0
209,10122,0.0
210,10107,0.0
211,10103,0.0
212,10174,0.0
213,10166,0.0
214,10169,0.0
215,10167,0.0
216,10177,0.0
217,10172,0.0
218,10171,0.0
219,10270,0.0
220,10104,0.0
221,10271,0.0
222,10110,0.0
223,10175,0.0
224,10173,0.0
225,10178,0.0
226,10119,0.0
227,10121,0.0
228,10123,0.0
229,10106,0.0
230,10158,0.0
231,10041,0.0
232,10120,0.0
233,10278,0.0
234,10043,0.0
235,10081,0.0
236,10096,0.0
237,10097,0.0
238,10196,0.0
239,10196,0.0
240,10275,0.0
241,10265,0.0
242,10045,0.0
243,10047,0.0
244,10047,0.0
245,10080,0.0
246,10203,0.0
247,10259,0.0
248,10260,0.0
249,10286,0.0
