,Business_name,Street_address,Categories,Cost,Rating,Review Count,Web_address,Rental_address
0,Sfilatino Italian Gourmet,"342 W 57th StNew York, NY 10019","[Italian,, Sandwiches,, Salad]",$$,4.0 star rating,120 reviews,https://www.yelp.com/biz/biz/sfilatino-italian-gourmet-new-york,"327 W 57th St, New York, NY 10019"
1,ABA Turkish Restaurant,"325 W 57th StNew York, NY 10019","[Turkish,, Mediterranean,, Halal]",$$,4.0 star rating,273 reviews,https://www.yelp.com/biz/biz/aba-turkish-restaurant-new-york,"327 W 57th St, New York, NY 10019"
2,Per Se,"10 Columbus Cir, Fl 4New York, NY 10019",[French],$$$$,4.5 star rating,1226 reviews,https://www.yelp.com/biz/biz/per-se-new-york,"327 W 57th St, New York, NY 10019"
3,Bolivian Llama Party,"1000 S 8th AveManhattan, NY 10019","[Food, Stands,, Latin, American]",$,4.5 star rating,114 reviews,https://www.yelp.com/biz/biz/bolivian-llama-party-manhattan-2,"327 W 57th St, New York, NY 10019"
4,Blue Ribbon Sushi Bar & Grill,"308 W 58th StNew York, NY 10019","[Sushi, Bars,, Japanese]",$$$,4.0 star rating,576 reviews,https://www.yelp.com/biz/biz/blue-ribbon-sushi-bar-and-grill-new-york,"327 W 57th St, New York, NY 10019"
5,Masseria Dei Vini,"887 9th AveNew York, NY 10019","[Wine, Bars,, Italian]",$$$,4.5 star rating,273 reviews,https://www.yelp.com/biz/biz/masseria-dei-vini-new-york,"327 W 57th St, New York, NY 10019"
6,CityMD - W57th Street,"315 West 57th StNew York, NY 10019","[Doctors,, Urgent, Care]",$$,4.5 star rating,171 reviews,https://www.yelp.com/biz/biz/citymd-w57th-street-new-york-2,"327 W 57th St, New York, NY 10019"
7,Fusion Spa,"315 West 57th StNew York, NY 10019","[Skin, Care,, Reflexology]",$$$$,5.0 star rating,41 reviews,https://www.yelp.com/biz/biz/fusion-spa-new-york,"327 W 57th St, New York, NY 10019"
8,Masa,"10 Columbus Cir, Fl 4New York, NY 10019","[Sushi, Bars,, Japanese]",$$$,4.0 star rating,223 reviews,https://www.yelp.com/biz/biz/masa-new-york,"327 W 57th St, New York, NY 10019"
9,Library Bar at Hudson,"358 W 58th StNew York, NY 10019",[Lounges],$$,4.0 star rating,170 reviews,https://www.yelp.com/biz/biz/library-bar-at-hudson-new-york,"327 W 57th St, New York, NY 10019"
10,Auntie Guan’s Kitchen 108,"108 W 14th StNew York, NY 10011","[Chinese,, Asian, Fusion]",$$$,4.0 star rating,153 reviews,https://www.yelp.com/biz/biz/auntie-guans-kitchen-108-new-york,"118 West 14th Street, New York, NY 10011"
