,Business_name,Street_address,Categories,Cost,Rating,Review Count,Web_address,Rental_address
0,India House Restaurant,"586 Nostrand AveBrooklyn, NY 11216","[Indian,, Halal,, Vegetarian]",$$,4.0 star rating,83 reviews,https://www.yelp.com/biz/india-house-restaurant-brooklyn-4,"551 Nostrand Avenue, Brooklyn, NY 11216"
1,David’s Brisket House,"533 Nostrand AveBrooklyn, NY 11216","[Delis,, Sandwiches]",$$,4.5 star rating,301 reviews,https://www.yelp.com/biz/davids-brisket-house-brooklyn,"551 Nostrand Avenue, Brooklyn, NY 11216"
2,Richol Bakery,"563 Nostrand AveBrooklyn, NY 11216","[Bakeries,, Coffee, &, Tea,, Breakfast, &, Brunch]",$,4.5 star rating,167 reviews,https://www.yelp.com/biz/richol-bakery-brooklyn,"551 Nostrand Avenue, Brooklyn, NY 11216"
3,A&A Bake & Doubles Shop,"481 Nostrand AveBrooklyn, NY 11216","[Bakeries,, Trinidadian]",$,4.5 star rating,122 reviews,https://www.yelp.com/biz/a-and-a-bake-and-doubles-shop-brooklyn,"551 Nostrand Avenue, Brooklyn, NY 11216"
4,Yeah Dawg Vegan,"Brooklyn, NY 11216","[American, (New),, Street, Vendors]",$,4.5 star rating,10 reviews,https://www.yelp.com/biz/yeah-dawg-vegan-brooklyn,"551 Nostrand Avenue, Brooklyn, NY 11216"
5,Royal Bakery & Roti House,"618 Nostrand AveBrooklyn, NY 11216","[Bakeries,, Caribbean]",$,4.0 star rating,34 reviews,https://www.yelp.com/biz/royal-bakery-and-roti-house-brooklyn,"551 Nostrand Avenue, Brooklyn, NY 11216"
6,Sakura Tokyo,"604 Nostrand Ave.Brooklyn, NY 11216","[Sushi, Bars]",$,3.5 star rating,152 reviews,https://www.yelp.com/biz/sakura-tokyo-brooklyn,"551 Nostrand Avenue, Brooklyn, NY 11216"
7,Ali’s Trinidad Roti Shop,"1267 Fulton StBrooklyn, NY 11216",[Trinidadian],$,4.0 star rating,178 reviews,https://www.yelp.com/biz/alis-trinidad-roti-shop-brooklyn-2,"551 Nostrand Avenue, Brooklyn, NY 11216"
8,Pattie Hut,"543 Nostrand AveBrooklyn, NY 11216",[Caribbean],$$,4.0 star rating,6 reviews,https://www.yelp.com/biz/pattie-hut-brooklyn,"551 Nostrand Avenue, Brooklyn, NY 11216"
9,Le Paris Dakar,"518 Nostrand AveNew York, NY 11216","[Desserts,, Coffee, &, Tea,, Bakeries]",$$,4.5 star rating,115 reviews,https://www.yelp.com/biz/le-paris-dakar-new-york,"551 Nostrand Avenue, Brooklyn, NY 11216"
10,Good Eats Diner,"69-32 Grand AveMaspeth, NY 11378","[Diners,, Breakfast, &, Brunch]",$,4.0 star rating,275 reviews,https://www.yelp.com/biz/good-eats-diner-maspeth,"6935 Grand Avenue, Maspeth, NY 11378"
11,Rosa’s Pizza,"5526 69th StMaspeth, NY 11378",[Pizza],$,4.0 star rating,243 reviews,https://www.yelp.com/biz/rosas-pizza-maspeth-2,"6935 Grand Avenue, Maspeth, NY 11378"
12,Le Moment,"69-38 Grand AveQueens, NY 11378","[Bubble, Tea,, Coffee, &, Tea,, Asian, Fusion]",$$,3.5 star rating,39 reviews,https://www.yelp.com/biz/le-moment-queens,"6935 Grand Avenue, Maspeth, NY 11378"
13,New MK Mobile,,"[Mobile, Phone, Repair,, Mobile, Phones]",$$,5.0 star rating,10 reviews,https://www.yelp.com/biz/new-mk-mobile-maspeth,"6935 Grand Avenue, Maspeth, NY 11378"
14,Iavarone Bros Quality Foods,"818 Franklin AveBrooklyn, NY 11225","[Grocery,, Specialty, Food,, Delis]",$,4.0 star rating,35 reviews,https://www.yelp.com/biz/iavarone-bros-quality-foods-maspeth-2,"6935 Grand Avenue, Maspeth, NY 11378"
15,Isabella’s Italian Ices & Ice Cream,"1032 Union StBrooklyn, NY 11225","[Italian,, Ice, Cream, &, Frozen, Yogurt]",$,4.5 star rating,17 reviews,https://www.yelp.com/biz/isabellas-italian-ices-and-ice-cream-maspeth,"6935 Grand Avenue, Maspeth, NY 11378"
16,Homemade Taqueria,"903 Franklin AveCrown Heights, NY 11225",[Mexican],$,4.5 star rating,181 reviews,https://www.yelp.com/biz/homemade-taqueria-maspeth,"6935 Grand Avenue, Maspeth, NY 11378"
17,Joey’s Pizza,"895 Franklin AveBrooklyn, NY 11225","[Pizza,, Italian]",$$,3.5 star rating,89 reviews,https://www.yelp.com/biz/joeys-pizza-maspeth,"6935 Grand Avenue, Maspeth, NY 11378"
18,Spice Kitchen,"810 Franklin AveBrooklyn, NY 11225","[Indian,, Salad]",$$,5.0 star rating,35 reviews,https://www.yelp.com/biz/spice-kitchen-maspeth,"6935 Grand Avenue, Maspeth, NY 11378"
19,Fame Diner,"341 Eastern PkwyBrooklyn, NY 11238","[Diners,, Burgers,, Breakfast, &, Brunch]",$$,3.0 star rating,76 reviews,https://www.yelp.com/biz/fame-diner-maspeth-2,"6935 Grand Avenue, Maspeth, NY 11378"
20,Butter & Scotch,"785 Franklin AveBrooklyn, NY 11238","[Bakeries,, Cocktail, Bars]",$$,4.5 star rating,159 reviews,https://www.yelp.com/biz/butter-and-scotch-brooklyn-2,"884 Franklin Avenue, Brooklyn, NY 11225"
21,Ital Kitchen,"768 Franklin AveBrooklyn, NY 11238","[Vegetarian,, Vegan]",$$,4.5 star rating,51 reviews,https://www.yelp.com/biz/ital-kitchen-brooklyn-2,"884 Franklin Avenue, Brooklyn, NY 11225"
22,Píklíz Café and Lounge,"788 Franklin AveBrooklyn, NY 11238","[Cafes,, Lounges]",$,3.5 star rating,16 reviews,https://www.yelp.com/biz/p%C3%ADkl%C3%ADz-caf%C3%A9-and-lounge-crown-heights,"884 Franklin Avenue, Brooklyn, NY 11225"
23,Grandma Laundry Corner Incorporated,"789 Franklin AveBrooklyn, NY 11238","[Dry, Cleaning, &, Laundry]",$,4.5 star rating,18 reviews,https://www.yelp.com/biz/grandma-laundry-corner-incorporated-brooklyn,"884 Franklin Avenue, Brooklyn, NY 11225"
24,Sal Restaurant,"357 E 204th StNorwood, NY 10467","[American, (Traditional),, Halal,, Breakfast, &, Brunch]",$,4.5 star rating,21 reviews,https://www.yelp.com/biz/sal-restaurant-brooklyn,"884 Franklin Avenue, Brooklyn, NY 11225"
25,Frenchy’s Food Truck,"339 E 204th StreetBronx, NY 10467","[Coffee, &, Tea,, Bakeries,, French]",$,5.0 star rating,16 reviews,https://www.yelp.com/biz/frenchys-food-truck-brooklyn,"884 Franklin Avenue, Brooklyn, NY 11225"
26,Veggies Natural Juice Bar,"390 E 204th StBronx, NY 10467","[Juice, Bars, &, Smoothies,, Vegan,, Fruits, &, Veggies]",$$,4.5 star rating,100 reviews,https://www.yelp.com/biz/veggies-natural-juice-bar-brooklyn,"884 Franklin Avenue, Brooklyn, NY 11225"
27,Drink,"374 E 204th StBronx, NY 10467","[Cocktail, Bars,, Lounges]",$$,4.5 star rating,46 reviews,https://www.yelp.com/biz/drink-brooklyn,"884 Franklin Avenue, Brooklyn, NY 11225"
28,Glady’s,"3140 Bainbridge AveBronx, NY 10467",[Caribbean],$$,4.0 star rating,237 reviews,https://www.yelp.com/biz/gladys-brooklyn-2,"884 Franklin Avenue, Brooklyn, NY 11225"
29,Bunsmith,"3127 Hull AveBronx, NY 10467","[Asian, Fusion,, Korean]",$$,4.0 star rating,140 reviews,https://www.yelp.com/biz/bunsmith-brooklyn,"884 Franklin Avenue, Brooklyn, NY 11225"
30,Lexa Bar & Garden,"3167 Bainbridge AveBronx, NY 10467","[Cocktail, Bars,, American, (New)]",$,4.0 star rating,61 reviews,https://www.yelp.com/biz/lexa-bar-and-garden-norwood,"3117 Webster Avenue, Bronx, NY 10467"
31,Mexicana Deli Grocery,"3150 Bainbridge AveBronx, NY 10467","[Grocery,, Mexican]",$$,4.5 star rating,16 reviews,https://www.yelp.com/biz/mexicana-deli-grocery-bronx-2,"3117 Webster Avenue, Bronx, NY 10467"
32,La Nueva Estrella,"307 E 204th St BronxNorwood, NY 10467","[Salad,, Breakfast, &, Brunch,, Sandwiches]",$,2.5 star rating,16 reviews,https://www.yelp.com/biz/la-nueva-estrella-bronx,"3117 Webster Avenue, Bronx, NY 10467"
33,Rio Mixteco,"319 E 204th StNorwood, NY 10467",[Restaurants],$,4.0 star rating,2 reviews,https://www.yelp.com/biz/rio-mixteco-bronx,"3117 Webster Avenue, Bronx, NY 10467"
34,Nicky’s Coffee Shop,"618 4th AveBrooklyn, NY 11215","[Breakfast, &, Brunch,, Coffee, &, Tea]",$,4.0 star rating,35 reviews,https://www.yelp.com/biz/nickys-coffee-shop-bronx,"3117 Webster Avenue, Bronx, NY 10467"
35,Mamá Inés Coffee Shop & Bakery,"132 19th StBrooklyn, NY 11232",[Cafes],$$,5.0 star rating,4 reviews,https://www.yelp.com/biz/mam%C3%A1-in%C3%A9s-coffee-shop-and-bakery-bronx,"3117 Webster Avenue, Bronx, NY 10467"
36,Sal’s Pizzeria,"706 4th AveBrooklyn, NY 11232","[Pizza,, Salad,, Sandwiches]",$,4.0 star rating,40 reviews,https://www.yelp.com/biz/sals-pizzeria-bronx,"3117 Webster Avenue, Bronx, NY 10467"
37,New Star Coffee and Deli,,"[Coffee, &, Tea,, Delis]",$,4.5 star rating,10 reviews,https://www.yelp.com/biz/new-star-coffee-and-deli-bronx,"3117 Webster Avenue, Bronx, NY 10467"
38,Moja,"16975 137th AvenueJamaica, NY 11434",[Indian],$,3.5 star rating,5 reviews,https://www.yelp.com/biz/moja-norwood,"3117 Webster Avenue, Bronx, NY 10467"
39,AKS Halal Deli & Grill,"16991 137th AveJamaica, NY 11434","[Halal,, Fast, Food,, Grocery]",$,4.0 star rating,6 reviews,https://www.yelp.com/biz/aks-halal-deli-and-grill-norwood,"3117 Webster Avenue, Bronx, NY 10467"
