,Business_name,Street_address,Categories,Cost,Rating,Review Count,Web_address,Rental_address
0,Sfilatino Italian Gourmet,"342 W 57th StNew York, NY 10019","[Italian,, Sandwiches,, Salad]",$$,4.0 star rating,121 reviews,https://www.yelp.com/biz/sfilatino-italian-gourmet-new-york,"327 W 57th St, New York, NY 10019"
1,ABA Turkish Restaurant,"325 W 57th StNew York, NY 10019","[Turkish,, Mediterranean,, Halal]",$$,4.0 star rating,275 reviews,https://www.yelp.com/biz/aba-turkish-restaurant-new-york,"327 W 57th St, New York, NY 10019"
2,Per Se,"10 Columbus Cir, Fl 4New York, NY 10019",[French],$$$$,4.5 star rating,1225 reviews,https://www.yelp.com/biz/per-se-new-york,"327 W 57th St, New York, NY 10019"
3,Bolivian Llama Party,"1000 S 8th AveManhattan, NY 10019","[Food, Stands,, Latin, American]",$,4.5 star rating,115 reviews,https://www.yelp.com/biz/bolivian-llama-party-manhattan-2,"327 W 57th St, New York, NY 10019"
4,Blue Ribbon Sushi Bar & Grill,"308 W 58th StNew York, NY 10019","[Sushi, Bars,, Japanese]",$$$,4.0 star rating,578 reviews,https://www.yelp.com/biz/blue-ribbon-sushi-bar-and-grill-new-york,"327 W 57th St, New York, NY 10019"
5,Masseria Dei Vini,"887 9th AveNew York, NY 10019","[Wine, Bars,, Italian]",$$$,4.5 star rating,273 reviews,https://www.yelp.com/biz/masseria-dei-vini-new-york,"327 W 57th St, New York, NY 10019"
6,CityMD - W57th Street,"315 West 57th StNew York, NY 10019","[Doctors,, Urgent, Care]",$$,4.5 star rating,170 reviews,https://www.yelp.com/biz/citymd-w57th-street-new-york-2,"327 W 57th St, New York, NY 10019"
7,Fusion Spa,"315 West 57th StNew York, NY 10019","[Skin, Care,, Reflexology]",$$$$,5.0 star rating,41 reviews,https://www.yelp.com/biz/fusion-spa-new-york,"327 W 57th St, New York, NY 10019"
8,Masa,"10 Columbus Cir, Fl 4New York, NY 10019","[Sushi, Bars,, Japanese]",$$$,4.0 star rating,222 reviews,https://www.yelp.com/biz/masa-new-york,"327 W 57th St, New York, NY 10019"
9,Library Bar at Hudson,"358 W 58th StNew York, NY 10019",[Lounges],$$,4.0 star rating,169 reviews,https://www.yelp.com/biz/library-bar-at-hudson-new-york,"327 W 57th St, New York, NY 10019"
10,Auntie Guan’s Kitchen 108,"108 W 14th StNew York, NY 10011","[Chinese,, Asian, Fusion]",$$,4.0 star rating,154 reviews,https://www.yelp.com/biz/auntie-guans-kitchen-108-new-york,"118 West 14th Street, New York, NY 10011"
11,Auntie Guan’s Kitchen,"108 West 14th StNew York, NY 10011",[Chinese],$$$,4.0 star rating,77 reviews,https://www.yelp.com/biz/auntie-guans-kitchen-new-york,"118 West 14th Street, New York, NY 10011"
12,Gradisca,"126 W 13th StNew York, NY 10011","[Italian,, Salad]",$$,4.0 star rating,317 reviews,https://www.yelp.com/biz/gradisca-new-york,"118 West 14th Street, New York, NY 10011"
13,Rey Diving,"125 W 14th StNew York, NY 10011","[Scuba, Diving]",$$,5.0 star rating,32 reviews,https://www.yelp.com/biz/rey-diving-new-york,"118 West 14th Street, New York, NY 10011"
14,Sotto 13,"140 W 13th StWest Village, NY 10011","[Italian,, Pizza,, Breakfast, &, Brunch]",$$,4.0 star rating,595 reviews,https://www.yelp.com/biz/sotto-13-west-village,"118 West 14th Street, New York, NY 10011"
15,Bling Lash,"108 W 14th StNew York, NY 10011","[Eyelash, Service]",$,4.0 star rating,176 reviews,https://www.yelp.com/biz/bling-lash-new-york,"118 West 14th Street, New York, NY 10011"
16,Cafe Loup,"105 W 13th StNew York, NY 10011",[French],$$$,4.0 star rating,158 reviews,https://www.yelp.com/biz/cafe-loup-new-york,"118 West 14th Street, New York, NY 10011"
17,Green Symphony,"547 6th Ave 14 StNew York, NY 10011",[Pizza],$$,4.0 star rating,61 reviews,https://www.yelp.com/biz/green-symphony-new-york-2,"118 West 14th Street, New York, NY 10011"
18,Flex Mussels,"154 W 13th StNew York, NY 10011",[Seafood],$,4.0 star rating,676 reviews,https://www.yelp.com/biz/flex-mussels-new-york-2,"118 West 14th Street, New York, NY 10011"
19,Good Stuff Diner,"109 W 14th StNew York, NY 10011",[Diners],$$,3.5 star rating,311 reviews,https://www.yelp.com/biz/good-stuff-diner-new-york,"118 West 14th Street, New York, NY 10011"
20,Trinidad Golden Place Restaurant,"788 Nostrand AveBrooklyn, NY 11216","[Chinese,, Caribbean]",$,4.0 star rating,70 reviews,https://www.yelp.com/biz/trinidad-golden-place-restaurant-brooklyn,"778 Nostrand Ave, Brooklyn, NY 11215"
21,Colina Cuervo,"759 Nostrand AveCrown Heights, NY 11216","[Cafes,, Latin, American,, Coffee, &, Tea]",$,4.5 star rating,75 reviews,https://www.yelp.com/biz/colina-cuervo-crown-heights,"778 Nostrand Ave, Brooklyn, NY 11215"
22,Taqueria Milear,"752A Nostrand AveCrown Heights, NY 11216",[Mexican],$,4.5 star rating,86 reviews,https://www.yelp.com/biz/taqueria-milear-crown-heights,"778 Nostrand Ave, Brooklyn, NY 11215"
23,Tinto,"715 Nostrand AveBrooklyn, NY 11216","[Coffee, &, Tea,, Ice, Cream, &, Frozen, Yogurt,, Breakfast, &, Brunch]",$$,4.5 star rating,102 reviews,https://www.yelp.com/biz/tinto-brooklyn,"778 Nostrand Ave, Brooklyn, NY 11215"
24,Gloria’s Caribbean Cuisine,"764 Nostrand AveBrooklyn, NY 11216",[Caribbean],$,3.5 star rating,221 reviews,https://www.yelp.com/biz/glorias-caribbean-cuisine-brooklyn-2,"778 Nostrand Ave, Brooklyn, NY 11215"
25,Silver Krust Restaurant,"747 Nostrand AveBrooklyn, NY 11216",[Caribbean],$$,4.5 star rating,13 reviews,https://www.yelp.com/biz/silver-krust-restaurant-brooklyn,"778 Nostrand Ave, Brooklyn, NY 11215"
26,Masago Bistro,"766 Nostrand AveBrooklyn, NY 11216","[Japanese,, Sushi, Bars]",$,3.0 star rating,84 reviews,https://www.yelp.com/biz/masago-bistro-brooklyn,"778 Nostrand Ave, Brooklyn, NY 11215"
27,Meme’s Healthy Nibbles,"707 Nostrand AveBrooklyn, NY 11216","[Burgers,, Sandwiches,, Vegan]",$$,4.0 star rating,97 reviews,https://www.yelp.com/biz/memes-healthy-nibbles-brooklyn,"778 Nostrand Ave, Brooklyn, NY 11215"
28,Lula Bagel,"816 Nostrand AveCrown Heights, NY 11216","[Bagels,, Coffee, &, Tea,, Sandwiches]",$$,4.0 star rating,141 reviews,https://www.yelp.com/biz/lula-bagel-crown-heights,"778 Nostrand Ave, Brooklyn, NY 11215"
29,Curry Garden,"787 Prospect PlBrooklyn, NY 11216",[Indian],$$$,4.0 star rating,34 reviews,https://www.yelp.com/biz/curry-garden-brooklyn-3,"778 Nostrand Ave, Brooklyn, NY 11215"
30,The Burger Garage,"25-36 Jackson AveLong Island City, NY 11101","[American, (Traditional),, Burgers,, Gluten-Free]",$$,3.5 star rating,276 reviews,https://www.yelp.com/biz/the-burger-garage-long-island-city-2,"5 Court Square, Long Island City, NY 11101"
31,Il Falco,"2150 44th DrLong Island City, NY 11101",[Italian],$$,4.5 star rating,173 reviews,https://www.yelp.com/biz/il-falco-long-island-city,"5 Court Square, Long Island City, NY 11101"
32,LIC Market,"21-52 44th DrLong Island City, NY 11101","[Breakfast, &, Brunch,, American, (New)]",$$$,4.0 star rating,593 reviews,https://www.yelp.com/biz/lic-market-long-island-city,"5 Court Square, Long Island City, NY 11101"
33,Caffeina Espresso Bar,"44-02 23rd StLong Island City, NY 11101",[Cafes],$$,4.5 star rating,35 reviews,https://www.yelp.com/biz/caffeina-espresso-bar-long-island-city,"5 Court Square, Long Island City, NY 11101"
34,M. Wells Steakhouse,"43-15 Crescent StLong Island City, NY 11101","[Steakhouses,, Wine, Bars]",$$,3.5 star rating,283 reviews,https://www.yelp.com/biz/m-wells-steakhouse-long-island-city,"5 Court Square, Long Island City, NY 11101"
35,The Beast Next Door,"42-51 27th StLong Island City, NY 11101","[Bars,, American, (New)]",$$,4.5 star rating,93 reviews,https://www.yelp.com/biz/the-beast-next-door-long-island-city,"5 Court Square, Long Island City, NY 11101"
36,Aanchal Indian Restaurant,"45-12 23rd StLong Island City, NY 11101",[Indian],$,3.5 star rating,92 reviews,https://www.yelp.com/biz/aanchal-long-island-city,"5 Court Square, Long Island City, NY 11101"
37,The Inkan,"4502 23rd StLong Island City, NY 11101","[Peruvian,, Latin, American]",$,3.5 star rating,113 reviews,https://www.yelp.com/biz/the-inkan-long-island-city,"5 Court Square, Long Island City, NY 11101"
38,Etto Espresso Bar,"42-77 Hunter StLong Island City, NY 11101",[Cafes],$$,4.5 star rating,36 reviews,https://www.yelp.com/biz/etto-espresso-bar-long-island-city,"5 Court Square, Long Island City, NY 11101"
39,Gaw Gai,"23-06 Jackson AveLong Island City, NY 11101",[Thai],$$,3.5 star rating,134 reviews,https://www.yelp.com/biz/gaw-gai-long-island-city,"5 Court Square, Long Island City, NY 11101"
40,Amélie,"22 W 8th StNew York, NY 10011","[French,, Wine, Bars]",$$$,4.5 star rating,1462 reviews,https://www.yelp.com/biz/am%C3%A9lie-new-york,"16 W 8th Street, New York, NY 10011"
41,Arts and Crafts Beer Parlor,"26 W 8th StNew York, NY 10011","[Pubs,, Art, Galleries]",$$,4.5 star rating,168 reviews,https://www.yelp.com/biz/arts-and-crafts-beer-parlor-new-york,"16 W 8th Street, New York, NY 10011"
42,Analogue,"19 W 8th StNew York, NY 10011","[Cocktail, Bars,, Jazz, &, Blues,, Lounges]",$$,4.0 star rating,163 reviews,https://www.yelp.com/biz/analogue-new-york,"16 W 8th Street, New York, NY 10011"
43,Rasa,"25 W 8th StNew York, NY 10011","[Malaysian,, Sushi, Bars,, Halal]",$$,4.0 star rating,373 reviews,https://www.yelp.com/biz/rasa-new-york,"16 W 8th Street, New York, NY 10011"
44,Stumptown,"30 W 8th StNew York, NY 10011","[Coffee, &, Tea]",$$,4.5 star rating,304 reviews,https://www.yelp.com/biz/stumptown-new-york,"16 W 8th Street, New York, NY 10011"
45,8th Street Winecellar,"28 W 8th StNew York, NY 10011","[Wine, Bars]",$$,4.0 star rating,297 reviews,https://www.yelp.com/biz/8th-street-winecellar-new-york-2,"16 W 8th Street, New York, NY 10011"
46,La Panineria,"1 W 8th StNew York, NY 10011","[Italian,, Sandwiches]",$,4.5 star rating,139 reviews,https://www.yelp.com/biz/la-panineria-new-york,"16 W 8th Street, New York, NY 10011"
47,305 Fitness,"18 W 8th StNew York, NY 10011","[Gyms,, Dance, Studios,, Trainers]",$,5.0 star rating,101 reviews,https://www.yelp.com/biz/305-fitness-new-york-2,"16 W 8th Street, New York, NY 10011"
