,County,Sum Sale,Sum Profit,Sum Bottles Sold,Median Sale,Median Profit,Median Bottles Sold,Median Bottle Price,Median Bottle Profit,Median No. Trans,No. of stores,No. of trans,Mean bottles per trans,Population,Area,Area per store,Population per store
0,Winneshiek,1284923.04,430029.68,92729,282036.82,94620.93,21382.0,15.55,5.19462585034,2352.0,5,10610,8.7397737983,7682,569.0,113.8,1536.4
1,Jones,1015238.25,340273.05,78395,265864.93,89055.325,19753.5,14.16,4.734455509,2721.5,4,15688,4.99713156553,4029,424.0,106.0,1007.25
2,Kossuth,1769012.89,593456.47,124337,232513.3,77923.08,13883.0,15.48,5.17247772829,1301.0,7,13899,8.94575149291,14330,640.0,91.4285714286,2047.14285714
3,Monona,519700.46,173605.51,42020,222135.34,74241.4,15276.0,13.93,4.65200900481,3372.0,3,10023,4.19235757757,12884,496.0,165.333333333,4294.66666667
4,Lucas,415069.06,138959.5,31177,207534.53,69479.75,15588.5,14.44,4.82569942747,2038.0,2,4076,7.6489205103,6119,443.0,221.5,3059.5
5,Cerro Gordo,5751979.57,1925108.76,448722,180305.02,60227.48,14207.0,13.81,4.62061855898,1549.0,20,52216,8.59357285123,26076,716.0,35.8,1303.8
6,Mahaska,1238308.7,414259.06,101125,177137.55,59251.5,14626.0,13.7,4.58341530055,1294.0,7,12579,8.03919230463,131090,567.0,81.0,18727.1428571
7,Union,968807.5,324288.44,70322,149868.45,50236.72,11006.5,13.99,4.67718907023,1175.0,6,9061,7.76095353714,26306,572.0,95.3333333333,4384.33333333
8,Howard,710520.03,238239.97,49092,145839.06,48919.67,10339.0,14.7,4.91732360097,1133.0,3,5292,9.27664399093,24276,428.0,142.666666667,8092.0
9,Ida,547270.83,183333.65,38825,140079.055,47053.91,10826.0,15.685,5.23721693893,1059.5,4,4811,8.07004780711,20958,571.0,142.75,5239.5
10,Bremer,1794322.78,601404.19,131767,134666.94,45363.45,10116.0,13.58,4.53930022573,1630.0,9,17932,7.34814856123,20260,575.0,63.8888888889,2251.11111111
11,Osceola,259985.23,87008.46,19448,129992.615,43504.23,9724.0,14.44,4.82676131887,1493.5,2,2987,6.51088048209,14867,580.0,290.0,7433.5
12,Scott,20800511.84,6946980.46,1693353,129922.0,43342.76,12832.0,13.22,4.42039902845,1123.0,67,137384,12.3256929482,9670,570.0,8.50746268657,144.328358209
13,Marion,1974697.44,660651.52,146471,129844.13,43780.47,8580.0,14.65,4.8928442623,1055.0,11,21104,6.94043783169,20816,569.0,51.7272727273,1892.36363636
14,Jefferson,863813.42,288556.66,65354,125400.635,41901.625,10708.5,13.57,4.53125650462,1012.0,4,6539,9.99449457104,13956,564.0,141.0,3489.0
15,Sioux,1502398.07,503087.88,100635,123747.79,41369.08,9503.0,15.06,5.0311089939,832.0,9,10503,9.58154812911,18499,580.0,64.4444444444,2055.44444444
16,Plymouth,1558273.49,521891.39,109946,123659.95,41448.955,9094.5,14.39,4.81262021559,1046.0,8,13324,8.25172620835,44151,568.0,71.0,5518.875
17,Mitchell,437388.82,146535.87,34153,121947.94,40766.92,8230.0,14.46,4.82923547401,1256.0,5,8262,4.13374485597,12072,577.0,115.4,2414.4
18,Washington,1462246.29,488853.96,104096,116811.09,38956.28,9036.0,15.18,5.07360153257,1044.0,7,11915,8.73655056651,12439,505.0,72.1428571429,1777.0
19,Monroe,310752.35,104038.54,23345,111354.74,37314.34,8345.0,14.52,4.84848219863,1282.0,3,3012,7.75066401062,9286,431.0,143.666666667,3095.33333333
20,Delaware,871470.79,291684.85,63168,109235.32,36717.46,9265.0,12.42,4.15551816958,743.0,5,5856,10.7868852459,16667,569.0,113.8,3333.4
21,Black Hawk,16064552.82,5370097.77,1404315,105595.31,35259.21,11732.5,12.85,4.29317583004,1098.0,72,121019,11.6040869616,18129,779.0,10.8194444444,251.791666667
22,Worth,258916.55,86598.98,20766,104798.77,35007.93,7838.0,14.52,4.84942535915,1153.0,3,3009,6.90129611167,49116,695.0,231.666666667,16372.0
23,Jackson,1207416.17,403975.58,94444,104046.88,35078.13,8114.5,13.12,4.38846245788,739.0,8,12656,7.46238938053,17096,714.0,89.25,2137.0
24,Dickinson,3967311.85,1326408.84,278394,100995.41,33742.74,6369.0,13.6,4.54793172691,1228.0,15,28770,9.67653806048,66135,586.0,39.0666666667,4409.0
25,Adams,201132.71,67216.56,15902,100566.355,33608.28,7951.0,14.9,4.97577790616,1697.5,2,3395,4.68394698085,8753,503.0,251.5,4376.5
26,Shelby,836308.77,279966.88,60597,98736.86,33133.155,8482.0,13.38,4.46973214286,644.5,4,5747,10.5441099704,8457,532.0,133.0,2114.25
27,Lee,3876840.25,1294262.79,283200,96675.58,32265.22,13482.0,13.07,4.37464108031,1004.0,17,27812,10.1826549691,17764,578.0,34.0,1044.94117647
28,Davis,96185.96,32172.66,7746,96185.96,32172.66,7746.0,13.73,4.58928617363,1555.0,1,1555,4.98135048232,40325,416.0,416.0,40325.0
29,Woodbury,10115238.44,3379428.29,764809,94796.15,31659.5,8012.0,13.95,4.66496059441,1050.0,38,69172,11.0566269589,16667,381.0,10.0263157895,438.605263158
30,Wapello,2745634.87,918215.55,211980,88418.61,29573.58,8781.5,14.08,4.70297175068,1029.5,14,28102,7.54323535691,93653,608.0,43.4285714286,6689.5
31,Crawford,1265170.37,424492.36,88158,88398.94,29605.345,6010.5,13.905,4.65016987314,1019.0,6,9501,9.27881275655,10302,396.0,66.0,1717.0
32,Allamakee,823579.28,276000.26,60923,87198.005,29260.055,6834.5,15.34,5.12596533809,1096.0,6,8639,7.05208936219,20880,731.0,121.833333333,3480.0
33,Poweshiek,1349652.23,451321.09,100600,86497.315,28907.03,6797.0,12.625,4.22218260474,1185.0,14,17552,5.73154056518,16303,501.0,35.7857142857,1164.5
34,Clarke,665423.91,222900.8,45962,84144.19,28138.765,6362.5,15.175,5.07119944471,586.5,6,5659,8.12192966955,10680,582.0,97.0,1780.0
35,Cherokee,743338.94,249128.06,62845,83253.79,27988.64,5759.0,14.82,4.95795304034,1265.0,7,7447,8.43896871223,7441,511.0,73.0,1063.0
36,Johnson,17737144.45,5926284.02,1251346,82594.43,27694.465,7135.5,14.715,4.91407629355,806.0,54,109467,11.4312623896,9336,568.0,10.5185185185,172.888888889
37,Benton,726075.75,243539.78,56177,82509.51,27576.305,7885.0,12.63,4.22210545348,1494.0,6,7813,7.19019582747,12453,503.0,83.8333333333,2075.5
38,Clay,1571856.45,526743.57,118865,82440.735,27737.305,6174.0,14.295,4.77963970969,430.5,8,15432,7.70250129601,10954,591.0,73.875,1369.25
39,Chickasaw,379533.89,127259.62,28887,80391.06,26877.66,5278.0,13.7,4.57781609195,696.0,5,4046,7.13964409293,15673,577.0,115.4,3134.6
40,Page,1178275.96,393890.11,88064,80302.62,26870.145,6274.5,14.265,4.76948100913,647.0,8,10722,8.21339302369,11341,571.0,71.375,1417.625
41,Appanoose,835381.93,279434.99,67033,80033.3,26756.895,7479.5,14.61,4.88509879601,1037.5,6,8639,7.75934714666,17534,569.0,94.8333333333,2922.33333333
42,Floyd,1225631.24,410777.34,94549,78385.22,26623.65,6100.0,14.43,4.82397167903,739.0,7,8362,11.3069839751,14928,697.0,99.5714285714,2132.57142857
43,Warren,2350365.27,787377.21,185419,76402.705,25519.15,9674.0,13.34,4.46093604006,748.0,18,19829,9.35090019668,20145,434.0,24.1111111111,1119.16666667
44,Henry,1083269.58,362388.62,81250,75931.46,25343.37,8434.0,12.28,4.11352657005,1495.0,5,9082,8.946267342,9566,473.0,94.6,1913.2
45,Marshall,3017800.81,1009502.43,226267,75511.84,25210.045,8059.5,13.855,4.63485127608,1152.0,14,23744,9.52943901617,9815,434.0,31.0,701.071428571
46,Montgomery,625465.12,209194.32,48605,74796.77,25067.8,5449.0,15.23,5.08518580144,811.0,5,6754,7.19647616227,7089,432.0,86.4,1417.8
47,Polk,55710484.38,18612680.69,4134606,74632.925,24937.28,8026.5,13.695,4.56983784763,871.5,168,331769,12.4623035908,16355,586.0,3.4880952381,97.3511904762
48,Tama,638455.4,213749.98,53422,73909.43,24794.25,5444.0,13.59,4.54251612903,1085.0,5,7697,6.94062621801,19848,636.0,127.2,3969.6
49,Mills,436874.08,146065.48,37817,73801.51,24649.21,7414.5,12.75,4.26339410322,771.5,6,3972,9.52089627392,36842,730.0,121.666666667,6140.33333333
50,Humboldt,648738.09,217875.57,48575,73354.63,24788.66,5678.5,12.14,4.05715295223,436.5,4,5035,9.64746772592,16843,435.0,108.75,4210.75
51,Buena Vista,1802902.99,604081.81,131631,71239.37,23878.68,5622.0,14.39,4.81028679245,792.0,13,21780,6.04366391185,130882,614.0,47.2307692308,10067.8461538
52,Linn,24989946.22,8352223.74,1960733,71209.61,23840.85,6579.0,12.98,4.33078235294,744.0,101,187851,10.4377032861,20638,575.0,5.69306930693,204.336633663
53,Buchanan,1022362.75,342488.67,78341,69939.63,23421.79,6031.0,14.47,4.83572298326,1209.0,9,9962,7.86398313592,10511,579.0,64.3333333333,1167.88888889
54,O'Brien,1273098.87,426714.99,95491,69762.225,23383.375,5656.0,13.415,4.48444816349,1009.0,10,14058,6.79264475743,15543,973.0,97.3,1554.3
55,Emmet,585747.34,196191.83,43487,69482.405,23358.895,5980.0,12.75,4.26979755982,505.0,4,6110,7.11734860884,35862,517.0,129.25,8965.5
56,Cass,1142073.39,382098.9,81423,68037.16,22724.77,5345.0,13.53,4.52454867257,565.0,9,10048,8.10340366242,211226,718.0,79.7777777778,23469.5555556
57,Guthrie,295573.47,98899.35,25088,67135.02,22438.34,6379.0,13.14,4.39640952381,468.0,5,3404,7.37015276146,11387,402.0,80.4,2277.4
58,Lyon,788587.32,263383.99,56364,66297.14,22137.8,4422.5,15.61,5.22295209092,757.0,10,9663,5.83297112698,8898,431.0,43.1,889.8
59,Hardin,4794747.16,1605459.43,366176,65562.185,22060.5,5043.0,13.585,4.54286113847,595.5,28,34001,10.769565601,11581,588.0,21.0,413.607142857
60,Fayette,1124619.0,377609.93,87733,63801.42,21329.55,3581.0,13.75,4.60305182342,641.0,11,8873,9.88763665051,15679,561.0,51.0,1425.36363636
61,Story,8559325.44,2862861.31,621112,63618.1,21281.98,5758.0,13.555,4.52860831182,794.0,38,72738,8.539030493,22381,571.0,15.0263157895,588.973684211
62,Hancock,308398.74,103353.38,27276,62664.915,21015.4,5493.0,13.575,4.54194296825,706.0,4,3108,8.77606177606,33309,554.0,138.5,8327.25
63,Clinton,3401524.7,1137487.77,279719,59952.72,20008.16,8438.0,13.24,4.42536661466,903.0,17,28726,9.73748520504,40648,572.0,33.6470588235,2391.05882353
64,Harrison,507430.9,169646.84,42548,59126.53,19772.84,5392.0,11.69,3.91023275862,1026.0,7,9134,4.65820013138,15059,437.0,62.4285714286,2151.28571429
65,Dubuque,8710159.48,2913344.81,636433,58030.805,19418.74,5243.0,13.245,4.42117893044,467.0,40,62196,10.2326998521,10776,469.0,11.725,269.4
66,Wright,701984.27,235189.34,55944,54379.14,18192.52,5198.0,12.585,4.21166650948,477.5,10,6612,8.4609800363,9243,693.0,69.3,924.3
