,Job Title,Location,Company,Salary,No. of Reviews,Company Ratings,Job Summary
0,Computer Data Scientist Job,"Newport News, VA",SAIC,None,"1,270 reviews",51.6,Computer Data Scientist (Job Number:. The data scientist shall provide the following services in support of scientific data mining to include:....
1,Operations Research Analyst,"Hampton, VA",AECOM,None,"1,810 reviews",43.2,Support data gathering and presentation of DCGS measures of performance and ISR mission effectiveness. AECOM has an immediate opportunity for an Operations...
2,Market Research Analyst II,"Newport News, VA 23606",Canon,None,433 reviews,43.2,"Provides support for business planning and marketing through research and analysis of company’s markets, competition and product mix. Responsibilities:"
3,Research Analyst,"Hampton, VA",Thomas Nelson Comm College,"<nobr>$55,000 - $64,260 a year</nobr>",2 reviews,54.0,"Primary responsibilities include meeting with data requestors, querying needed data from various College information systems, analyzing those data, and..."
4,Intelligence Analyst,"Suffolk, VA 23435",Scientific Research Corporation,None,53 reviews,43.8,"Analyze data collected, extract evidence and develop findings. At the core of our capabilities is a seasoned team of highly skilled engineers and scientists..."
5,"PRINCIPAL OPERATIONS RESEARCH ANALYST, NORFOLK, VA Job","Norfolk, VA",CACI International Inc,None,815 reviews,44.4,"Job Requisition Number: 122533 Category: Science - Research Primary Location: Norfolk, VA, US Security Clearance: Secret Clearance Status: Must be Obtainable"
6,"Defense Research Analyst, Senior","Suffolk, VA",Booz Allen Hamilton,None,946 reviews,44.4,Job Number: 01219531 Key Role: Provide analytical support to the US Joint Staff in developing military capabilities for a myriad of combatant command and
7,LABORATORY MANAGER,"Norfolk, VA 23507",Sentara Healthcare,None,281 reviews,44.4,"Analyzes patient data and suggests physician protocol for confirming patient diagnosis; AMT Medical Technologist, ASCP Medical Technologist, Cert..."
8,Operations Research Analyst,"Norfolk, VA 23502",Booz Allen Hamilton,None,946 reviews,44.4,Analyze NATO's data link information sharing strategy and data link migration strategy documents to ensure they are fit for purpose and meet expected deadlines....
9,Sr. Operations Research Analyst,"Suffolk, VA","SimIS, Inc",None,None,None,"Knowledge of test planning, data collection, data analysis, and reporting procedures. Responsible for developing Program Test Plans to include test requirements..."
10,IT Disaster Recovery Analyst (Entry Level),"Norfolk, VA 23510",ADP,None,"1,660 reviews",44.4,"At ADP, the world's largest B2B cloud company, our Technology team is comprised of brilliant engineers, architects, data scientists, infrastructure experts, and..."
11,Logistics Analyst - Naval Operations Research,"Norfolk, VA",SJS Executives,None,None,None,"Proficient in gathering, organizing, and managing data using software tools. Specialized expertise in the development and management of metric data programs...."
