,Airport,Year,FAA REGION,COUNTY,CITY,STATE,AP Type,Departure Cancellations,Arrival Cancellations,Departure Diversions,Arrival Diversions,departures for metric computation,arrivals for metric computation,percent on-time gate departures,percent on-time airport departures,percent on-time gate arrivals,average_gate_departure_delay,average_taxi_out_time,average taxi out delay,average airport departure delay,average airborne delay,average taxi in delay,average block delay,average gate arrival delay,label,Latitude,Longitude
0,ABQ,2004.0,ASW,BERNALILLO,ALBUQUERQUE,NM,Federalized/Commercial,242.0,235.0,71.0,46.0,53971,53818,0.803,0.7809,0.7921,10.38,9.89,2.43,12.1,2.46,0.83,2.55,10.87,0,35.040194,-106.60919399999999
1,ABQ,2005.0,ASW,BERNALILLO,ALBUQUERQUE,NM,Federalized/Commercial,221.0,190.0,61.0,33.0,51829,51877,0.814,0.7922,0.8001,9.6,9.79,2.29,11.2,2.26,0.89,2.34,10.24,0,35.040194,-106.60919399999999
2,ABQ,2006.0,ASW,BERNALILLO,ALBUQUERQUE,NM,Federalized/Commercial,392.0,329.0,71.0,124.0,49682,51199,0.7983,0.7756,0.7746,10.84,9.89,2.16,12.33,2.12,0.84,2.66,11.82,0,35.040194,-106.60919399999999
3,ABQ,2007.0,ASW,BERNALILLO,ALBUQUERQUE,NM,Federalized/Commercial,366.0,304.0,107.0,45.0,53255,53611,0.8005,0.7704,0.7647,11.29,10.34,2.4,12.95,2.19,1.29,3.06,12.71,0,35.040194,-106.60919399999999
4,ABQ,2008.0,ASW,BERNALILLO,ALBUQUERQUE,NM,Federalized/Commercial,333.0,300.0,79.0,42.0,49589,49512,0.8103,0.7844,0.7875,10.79,10.41,2.41,12.32,1.82,1.03,2.79,11.48,0,35.040194,-106.60919399999999
5,ABQ,2009.0,ASW,BERNALILLO,ALBUQUERQUE,NM,Federalized/Commercial,192.0,162.0,74.0,26.0,42550,42704,0.8341,0.8147,0.8224,9.24,9.88,1.89,10.45,1.74,0.92,1.98,9.27,0,35.040194,-106.60919399999999
6,ABQ,2010.0,ASW,BERNALILLO,ALBUQUERQUE,NM,Federalized/Commercial,222.0,177.0,71.0,50.0,42302,42169,0.8144,0.7907,0.8047,10.25,9.95,2.05,11.58,1.66,0.95,1.9,10.23,0,35.040194,-106.60919399999999
7,ABQ,2011.0,ASW,BERNALILLO,ALBUQUERQUE,NM,Federalized/Commercial,345.0,294.0,77.0,61.0,42283,42297,0.8072,0.7758,0.8022,10.81,10.5,2.51,12.57,1.58,0.84,1.87,10.63,0,35.040194,-106.60919399999999
8,ABQ,2012.0,ASW,BERNALILLO,ALBUQUERQUE,NM,Federalized/Commercial,237.0,181.0,65.0,60.0,39105,39107,0.8219,0.794,0.8177,10.55,10.27,2.32,12.11,1.41,0.98,1.8,9.73,0,35.040194,-106.60919399999999
9,ABQ,2013.0,ASW,BERNALILLO,ALBUQUERQUE,NM,Federalized/Commercial,232.0,212.0,62.0,46.0,35277,34989,0.771,0.7402,0.7554,12.56,10.77,2.64,14.28,1.6,0.92,2.35,12.76,0,35.040194,-106.60919399999999
10,ABQ,2014.0,ASW,BERNALILLO,ALBUQUERQUE,NM,Federalized/Commercial,315.0,274.0,66.0,37.0,33292,33137,0.7451,0.7148,0.732,14.3,10.64,2.41,15.99,1.73,1.02,2.4,14.72,4,35.040194,-106.60919399999999
11,ANC,2004.0,AAL,ANCHORAGE,ANCHORAGE,AK,Federalized/Commercial,473.0,532.0,73.0,30.0,16503,15511,0.7109,0.677,0.6502,21.45,12.41,2.92,23.05,4.03,1.08,5.93,22.62,4,61.174082999999996,-149.99819399999998
12,ANC,2005.0,AAL,ANCHORAGE,ANCHORAGE,AK,Federalized/Commercial,424.0,484.0,74.0,31.0,72043,67034,0.7394,0.7061,0.6955,18.36,12.19,2.78,19.97,3.65,1.01,4.96,19.35,4,61.174082999999996,-149.99819399999998
13,ANC,2006.0,AAL,ANCHORAGE,ANCHORAGE,AK,Federalized/Commercial,367.0,436.0,88.0,50.0,75708,69995,0.7771,0.7455,0.711,15.56,12.84,2.54,17.07,4.29,0.72,5.83,17.71,4,61.174082999999996,-149.99819399999998
14,ANC,2007.0,AAL,ANCHORAGE,ANCHORAGE,AK,Federalized/Commercial,359.0,423.0,93.0,54.0,78741,73323,0.7838,0.7457,0.7196,15.69,13.19,2.29,17.52,5.13,0.39,5.87,18.09,4,61.174082999999996,-149.99819399999998
15,ANC,2008.0,AAL,ANCHORAGE,ANCHORAGE,AK,Federalized/Commercial,268.0,355.0,97.0,57.0,76606,72479,0.7972,0.7698,0.7573,13.45,13.44,1.86,14.72,5.13,0.63,5.93,15.89,4,61.174082999999996,-149.99819399999998
16,ANC,2009.0,AAL,ANCHORAGE,ANCHORAGE,AK,Federalized/Commercial,354.0,421.0,84.0,80.0,67252,63135,0.8112,0.7952,0.8264,15.1,12.49,1.55,15.88,3.85,0.31,4.19,15.95,4,61.174082999999996,-149.99819399999998
17,ANC,2010.0,AAL,ANCHORAGE,ANCHORAGE,AK,Federalized/Commercial,149.0,204.0,84.0,32.0,73089,68125,0.7992,0.776,0.8045,17.77,11.97,1.79,18.83,3.75,0.37,3.91,20.28,4,61.174082999999996,-149.99819399999998
18,ANC,2011.0,AAL,ANCHORAGE,ANCHORAGE,AK,Federalized/Commercial,191.0,265.0,87.0,36.0,72556,66845,0.8276,0.805,0.8292,14.56,11.89,1.66,15.6,3.92,0.55,4.01,13.93,0,61.174082999999996,-149.99819399999998
19,ANC,2012.0,AAL,ANCHORAGE,ANCHORAGE,AK,Federalized/Commercial,216.0,284.0,78.0,36.0,70322,66453,0.8442,0.8235,0.8521,10.01,11.71,1.52,11.0,3.86,0.34,3.75,9.33,0,61.174082999999996,-149.99819399999998
20,ANC,2013.0,AAL,ANCHORAGE,ANCHORAGE,AK,Federalized/Commercial,141.0,184.0,65.0,40.0,69984,65469,0.8432,0.8228,0.8631,9.18,12.03,1.51,10.09,3.4,0.47,3.82,8.46,0,61.174082999999996,-149.99819399999998
21,ANC,2014.0,AAL,ANCHORAGE,ANCHORAGE,AK,Federalized/Commercial,111.0,162.0,74.0,28.0,71099,66704,0.8288,0.8074,0.86,11.33,11.33,1.33,12.34,4.09,0.54,4.57,10.82,0,61.174082999999996,-149.99819399999998
22,ATL,2004.0,ASO,FULTON,ATLANTA,GA,Federalized/Commercial,7870.0,8433.0,737.0,772.0,477323,473249,0.7596,0.5757,0.737,13.59,20.45,8.73,21.36,5.0,2.79,4.69,15.31,2,33.6367,-84.427864
23,ATL,2005.0,ASO,FULTON,ATLANTA,GA,Federalized/Commercial,13837.0,14480.0,790.0,1080.0,484570,480171,0.7413,0.6216,0.7337,15.5,18.52,7.26,21.8,4.24,2.72,4.62,17.23,2,33.6367,-84.427864
24,ATL,2006.0,ASO,FULTON,ATLANTA,GA,Federalized/Commercial,6624.0,7301.0,913.0,787.0,483334,478735,0.715,0.5324,0.7205,16.2,20.38,9.63,24.85,3.71,4.13,4.72,16.95,2,33.6367,-84.427864
25,ATL,2007.0,ASO,FULTON,ATLANTA,GA,Federalized/Commercial,6796.0,7790.0,920.0,1045.0,491826,486799,0.7167,0.5713,0.7446,16.77,19.67,8.28,24.18,3.88,4.17,4.43,16.09,2,33.6367,-84.427864
26,ATL,2008.0,ASO,FULTON,ATLANTA,GA,Federalized/Commercial,5830.0,6705.0,982.0,1072.0,482903,478627,0.7696,0.6071,0.7559,13.86,20.6,9.01,21.59,4.11,4.07,5.09,15.71,2,33.6367,-84.427864
27,ATL,2009.0,ASO,FULTON,ATLANTA,GA,Federalized/Commercial,5324.0,6303.0,1064.0,1116.0,479957,475882,0.7775,0.59,0.7335,13.2,21.84,9.73,21.48,3.31,4.75,5.7,16.54,2,33.6367,-84.427864
28,ATL,2010.0,ASO,FULTON,ATLANTA,GA,Federalized/Commercial,8198.0,9279.0,971.0,945.0,469542,465911,0.7961,0.6405,0.7956,12.82,21.26,8.61,19.9,2.66,4.32,3.67,14.16,2,33.6367,-84.427864
29,ATL,2011.0,ASO,FULTON,ATLANTA,GA,Federalized/Commercial,6555.0,7484.0,903.0,812.0,454954,453734,0.8008,0.673,0.8068,12.2,20.33,7.52,18.25,2.41,4.0,3.54,12.56,2,33.6367,-84.427864
30,ATL,2012.0,ASO,FULTON,ATLANTA,GA,Federalized/Commercial,2259.0,2782.0,798.0,655.0,457501,455968,0.832,0.7401,0.8422,9.84,18.8,6.03,14.44,1.62,3.13,2.89,10.27,2,33.6367,-84.427864
31,ATL,2013.0,ASO,FULTON,ATLANTA,GA,Federalized/Commercial,2916.0,3450.0,870.0,655.0,448180,445498,0.7917,0.7025,0.807,12.28,18.2,5.83,16.98,2.38,2.6,3.64,12.74,2,33.6367,-84.427864
32,ATL,2014.0,ASO,FULTON,ATLANTA,GA,Federalized/Commercial,5977.0,6483.0,781.0,655.0,428954,428312,0.7899,0.7134,0.8123,11.99,17.4,4.92,15.93,2.74,2.77,3.21,12.42,2,33.6367,-84.427864
33,AUS,2004.0,ASW,TRAVIS,AUSTIN,TX,Federalized/Commercial,477.0,436.0,53.0,40.0,14094,14052,0.7845,0.7658,0.7486,12.05,11.0,2.33,13.73,2.85,0.82,3.26,13.95,4,30.194528000000002,-97.669889
34,AUS,2005.0,ASW,TRAVIS,AUSTIN,TX,Federalized/Commercial,435.0,411.0,57.0,76.0,55790,55678,0.8107,0.7892,0.7641,10.31,10.98,2.42,12.04,2.61,0.99,2.74,12.62,0,30.194528000000002,-97.669889
35,AUS,2006.0,ASW,TRAVIS,AUSTIN,TX,Federalized/Commercial,440.0,387.0,82.0,51.0,56809,56704,0.7826,0.7579,0.7424,12.29,11.33,2.34,13.95,2.39,1.02,3.28,14.35,4,30.194528000000002,-97.669889
36,AUS,2007.0,ASW,TRAVIS,AUSTIN,TX,Federalized/Commercial,827.0,773.0,116.0,114.0,62255,62685,0.7789,0.7499,0.7241,12.84,12.1,2.74,14.79,2.41,1.27,3.45,15.39,4,30.194528000000002,-97.669889
37,AUS,2008.0,ASW,TRAVIS,AUSTIN,TX,Federalized/Commercial,732.0,688.0,95.0,86.0,60425,60559,0.7986,0.773,0.7473,11.77,12.11,2.6,13.51,2.05,1.02,3.06,14.42,0,30.194528000000002,-97.669889
38,AUS,2009.0,ASW,TRAVIS,AUSTIN,TX,Federalized/Commercial,298.0,261.0,72.0,69.0,53686,53651,0.8154,0.7943,0.772,10.91,11.67,2.05,12.23,2.26,1.16,2.69,12.73,0,30.194528000000002,-97.669889
39,AUS,2010.0,ASW,TRAVIS,AUSTIN,TX,Federalized/Commercial,356.0,307.0,74.0,67.0,54502,54481,0.8068,0.7857,0.7734,10.98,11.46,1.91,12.18,1.88,0.91,2.36,12.38,0,30.194528000000002,-97.669889
40,AUS,2011.0,ASW,TRAVIS,AUSTIN,TX,Federalized/Commercial,425.0,399.0,102.0,30.0,55584,55526,0.8051,0.7841,0.7738,11.29,11.38,1.97,12.56,1.65,0.97,2.42,12.56,0,30.194528000000002,-97.669889
41,AUS,2012.0,ASW,TRAVIS,AUSTIN,TX,Federalized/Commercial,353.0,323.0,80.0,60.0,56043,55752,0.8083,0.784,0.7769,10.98,11.59,2.25,12.46,1.69,1.18,2.46,12.3,0,30.194528000000002,-97.669889
42,AUS,2013.0,ASW,TRAVIS,AUSTIN,TX,Federalized/Commercial,390.0,318.0,84.0,80.0,58240,58316,0.7716,0.7433,0.7261,13.25,11.8,2.33,14.85,1.8,1.19,3.04,16.35,4,30.194528000000002,-97.669889
43,AUS,2014.0,ASW,TRAVIS,AUSTIN,TX,Federalized/Commercial,484.0,435.0,88.0,97.0,60588,60264,0.7627,0.7382,0.7222,14.16,11.76,2.06,15.59,2.25,1.08,2.88,16.2,4,30.194528000000002,-97.669889
